-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: latitude  23.0225   longitude 72.5714 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2019,1,1,20.11,31.21,10.91,12.37,101.27,2.6,0.37,0.0,4.7508
2019,1,2,20.46,31.36,11.56,13.13,101.26,2.87,0.18,0.0,4.8002
2019,1,3,19.71,30.61,10.84,18.3,101.39,3.04,3.71,0.0,4.813
2019,1,4,20.8,30.78,10.77,15.37,101.21,2.25,83.14,0.0,4.1808
2019,1,5,21.92,31.24,14.79,19.51,101.01,2.15,48.32,0.0,4.3709
2019,1,6,19.64,29.31,13.58,27.77,101.1,4.28,1.63,0.0,4.5682
2019,1,7,16.77,27.47,8.7,25.07,101.23,4.05,7.62,0.0,4.1011
2019,1,8,17.04,27.92,8.65,26.38,101.15,3.15,2.01,0.0,4.3015
2019,1,9,18.32,28.58,9.62,20.56,101.09,3.01,9.57,0.0,4.4561
2019,1,10,18.81,29.28,9.87,25.69,101.0,3.04,26.72,0.0,4.4592
2019,1,11,20.0,29.72,11.62,22.37,100.97,2.73,40.75,0.0,4.3368
2019,1,12,20.17,29.8,11.93,29.15,100.89,2.79,18.66,0.0,4.5485
2019,1,13,20.18,29.37,12.95,32.0,101.1,3.35,6.21,0.0,4.5168
2019,1,14,19.41,29.29,12.02,30.76,101.19,4.62,7.06,0.0,4.417
2019,1,15,19.3,29.64,12.03,25.87,101.16,3.67,31.42,0.0,4.476
2019,1,16,20.91,31.92,11.42,18.31,101.01,2.42,2.67,0.0,4.8331
2019,1,17,21.3,31.75,12.35,16.64,100.91,2.83,0.63,0.0,4.8437
2019,1,18,21.47,32.96,12.18,17.89,100.92,3.79,7.41,0.0,4.9325
2019,1,19,22.65,33.39,12.33,15.31,100.91,2.75,0.64,0.0,4.9855
2019,1,20,22.55,33.79,13.35,20.93,100.86,3.41,1.69,0.0,4.9344
2019,1,21,20.76,30.09,13.02,39.75,100.66,3.9,27.37,0.0,4.2955
2019,1,22,19.86,27.36,13.37,49.48,100.79,2.09,4.72,0.07,4.5271
2019,1,23,19.31,28.09,12.02,30.87,100.97,2.23,1.34,0.0,4.9697
2019,1,24,18.05,27.42,9.66,28.71,101.11,3.25,1.55,0.0,4.5072
2019,1,25,17.47,26.34,9.89,30.54,101.24,4.25,2.21,0.02,4.8737
2019,1,26,16.18,25.35,9.26,24.81,101.45,4.82,4.45,0.0,5.2255
