-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: latitude  12.9716   longitude 77.5946 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 841.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2019,1,1,19.39,30.31,10.27,47.59,92.24,3.79,12.78,0.0,6.0528
2019,1,2,19.22,30.3,9.86,49.99,92.25,4.26,11.46,0.0,6.0701
2019,1,3,19.63,30.61,11.18,49.04,92.3,4.09,12.97,0.0,6.012
2019,1,4,19.57,29.92,10.35,51.83,92.24,4.66,11.34,0.0,6.0348
2019,1,5,19.89,31.27,10.88,52.66,92.12,3.56,9.76,0.0,6.1406
2019,1,6,20.9,32.42,12.72,52.72,91.98,3.16,10.81,0.0,5.8553
2019,1,7,21.08,32.0,13.21,51.33,91.93,3.56,6.94,0.0,5.9726
2019,1,8,21.1,31.52,13.02,45.71,91.97,3.38,1.45,0.0,5.9674
2019,1,9,21.1,32.38,12.33,45.27,91.95,3.51,4.05,0.0,6.0674
2019,1,10,21.26,32.62,12.85,49.96,91.93,3.46,8.61,0.0,6.036
2019,1,11,21.44,32.37,13.49,51.42,92.0,2.82,6.61,0.0,5.9666
2019,1,12,21.56,31.88,14.03,53.2,91.99,3.41,34.69,0.0,5.2538
2019,1,13,21.27,32.15,12.56,46.41,92.0,3.03,26.53,0.0,5.8834
2019,1,14,20.96,31.56,11.85,46.86,91.96,3.41,30.8,0.0,5.8483
2019,1,15,20.81,31.53,11.4,40.55,92.0,4.11,73.44,0.0,5.4348
2019,1,16,21.07,31.58,11.99,49.88,92.03,3.85,9.05,0.0,6.1013
2019,1,17,21.62,31.51,14.25,54.83,91.93,3.88,6.24,0.0,5.665
2019,1,18,21.4,31.34,13.67,54.26,91.93,4.06,11.96,0.0,5.6474
2019,1,19,21.18,31.68,13.33,48.29,92.0,4.04,5.17,0.0,6.0946
2019,1,20,20.87,32.0,12.18,46.93,92.08,3.86,93.1,0.0,5.375
2019,1,21,21.09,32.45,11.1,46.58,92.0,3.7,71.66,0.0,5.5894
2019,1,22,21.51,32.08,13.57,49.54,91.96,2.1,10.35,0.0,6.0343
2019,1,23,22.62,31.98,15.47,54.38,91.93,2.37,14.43,0.0,5.9203
2019,1,24,23.27,31.95,16.5,54.09,91.98,3.05,24.1,0.0,5.807
2019,1,25,24.02,31.85,17.33,57.45,91.94,4.0,28.05,0.0,5.1362
2019,1,26,24.74,31.51,18.9,59.07,91.94,3.49,65.66,0.0,4.4585
2019,1,27,23.85,30.46,19.2,64.32,91.99,3.5,68.24,0.67,4.4333
2019,1,28,23.08,30.53,18.85,66.06,92.03,3.18,74.54,8.05,4.4242
2019,1,29,21.44,27.89,17.12,67.19,92.12,3.79,56.92,1.81,5.1739
2019,1,30,21.44,29.68,15.8,59.51,92.1,3.69,17.12,0.0,5.7641
2019,1,31,20.89,30.28,13.11,55.22,92.06,3.88,17.7,0.0,5.7912
2019,2,1,21.46,30.05,15.03,58.57,92.03,3.28,17.84,0.0,5.7806
2019,2,2,22.51,30.98,15.71,55.15,91.95,3.28,25.29,0.0,5.6537
2019,2,3,23.25,31.79,15.99,55.21,92.03,3.3,39.16,0.0,6.1123
2019,2,4,24.19,32.95,16.98,54.52,92.17,4.25,10.83,0.0,6.3456
2019,2,5,23.45,31.49,16.44,54.81,92.15,3.87,60.62,0.0,4.9658
2019,2,6,24.28,33.26,15.51,48.04,91.93,3.31,20.96,0.0,6.019
2019,2,7,25.01,33.67,16.6,51.73,91.91,3.68,49.06,0.0,5.4425
2019,2,8,25.99,34.06,17.8,51.21,91.95,2.55,36.32,0.0,5.9033
2019,2,9,25.92,32.92,19.99,55.73,91.98,2.54,49.53,5.85,4.9248
2019,2,10,22.89,26.94,20.59,77.58,92.1,3.12,54.53,11.56,4.8583
2019,2,11,23.8,30.34,18.82,66.81,92.13,5.1,53.38,0.02,5.429
2019,2,12,23.04,31.55,16.36,60.17,92.22,5.46,8.29,0.0,6.4673
2019,2,13,22.92,32.0,15.59,58.2,92.25,4.65,14.53,0.0,6.6058
2019,2,14,23.71,32.55,14.37,57.93,92.03,4.31,20.95,0.0,6.57
2019,2,15,24.88,32.77,17.09,58.93,92.02,2.29,30.26,0.0,6.0072
2019,2,16,25.62,32.95,18.91,55.77,92.0,2.69,48.77,0.0,5.7305
2019,2,17,25.73,33.75,19.12,49.13,91.89,2.99,32.81,0.0,6.4502
2019,2,18,25.46,34.78,17.63,35.37,91.76,1.94,13.01,0.0,6.8705
2019,2,19,27.0,34.82,20.03,55.5,91.85,4.31,37.18,0.01,5.8001
2019,2,20,26.0,34.81,19.42,52.57,92.09,5.11,9.83,0.0,6.6202
2019,2,21,24.59,33.48,17.12,50.06,92.25,4.95,3.93,0.0,6.9526
2019,2,22,24.11,34.57,14.7,38.78,92.07,4.98,2.63,0.0,7.2026
2019,2,23,24.77,35.53,15.43,29.76,91.91,4.86,0.79,0.0,7.3085
2019,2,24,25.2,35.67,15.47,32.28,91.78,4.69,4.73,0.0,7.2946
2019,2,25,25.26,36.24,14.85,32.77,91.7,3.13,11.17,0.0,7.2631
2019,2,26,25.89,35.48,15.75,37.6,91.63,2.55,8.88,0.0,6.9566
2019,2,27,27.58,35.77,18.98,44.95,91.57,2.73,47.82,0.0,6.2786
2019,2,28,27.18,34.86,21.42,37.1,91.62,2.72,37.69,0.0,6.6288
2019,3,1,28.17,36.12,20.07,49.33,91.65,2.95,47.12,0.01,6.5345
2019,3,2,27.78,35.28,21.68,51.76,91.77,4.54,49.72,0.08,5.6122
2019,3,3,27.36,34.43,20.14,50.39,91.74,2.8,45.38,0.0,5.623
2019,3,4,28.5,36.16,19.82,45.33,91.65,2.69,48.95,0.0,6.492
2019,3,5,30.15,37.03,22.14,34.61,91.59,2.13,65.0,0.0,5.8946
2019,3,6,29.71,37.19,22.12,29.14,91.65,2.33,41.66,0.0,6.7663
2019,3,7,29.69,38.97,21.89,23.99,91.58,2.23,22.78,0.0,7.219
2019,3,8,29.33,37.49,21.65,34.2,91.68,2.55,33.76,0.0,7.0735
2019,3,9,29.17,35.57,22.17,44.65,91.85,3.71,52.78,0.01,6.0084
2019,3,10,29.63,36.49,22.51,42.87,91.87,3.63,37.56,0.0,6.0242
2019,3,11,28.86,36.35,22.83,38.47,91.96,4.69,14.74,0.0,6.7082
2019,3,12,27.44,35.99,19.35,36.17,92.0,4.25,9.79,0.0,7.2264
2019,3,13,26.95,35.76,18.5,30.31,92.03,4.96,2.55,0.0,6.9617
2019,3,14,27.01,36.21,18.06,29.49,92.0,5.09,7.28,0.0,7.2888
2019,3,15,27.0,36.04,18.52,30.3,91.97,4.69,7.09,0.0,7.363
2019,3,16,26.5,36.07,16.89,34.67,91.96,4.65,0.62,0.0,7.3459
2019,3,17,26.16,36.06,15.99,36.41,91.92,3.7,0.28,0.0,7.4683
2019,3,18,27.1,36.19,18.13,46.42,91.9,3.45,3.47,0.0,7.237
2019,3,19,28.42,36.57,19.17,45.32,91.74,3.43,19.16,0.0,6.9595
2019,3,20,28.45,36.08,21.17,42.4,91.72,4.59,27.38,0.0,6.5566
2019,3,21,28.18,36.31,19.85,37.47,91.82,3.34,9.55,0.0,6.9979
2019,3,22,28.47,37.06,19.08,38.41,91.87,2.9,9.08,0.0,6.965
2019,3,23,29.53,37.68,20.56,40.52,91.82,2.86,14.03,0.0,6.8854
2019,3,24,30.09,38.51,22.39,31.9,91.75,4.07,20.3,0.0,6.8436
2019,3,25,29.12,38.07,20.56,35.09,91.76,4.37,5.19,0.0,7.3013
2019,3,26,28.71,37.4,20.28,35.38,91.88,4.31,2.06,0.0,7.4179
2019,3,27,28.8,38.06,20.35,30.99,91.98,4.15,6.82,0.0,7.3426
2019,3,28,29.07,39.11,19.36,32.74,91.9,4.16,2.93,0.0,7.5811
2019,3,29,29.96,38.98,20.24,25.75,91.72,3.12,29.19,0.0,6.7963
2019,3,30,29.76,38.18,21.4,28.82,91.72,3.75,5.56,0.0,7.1561
2019,3,31,29.99,38.4,21.37,28.85,91.77,3.07,17.34,0.0,7.2372
2019,4,1,30.39,38.46,21.74,26.92,91.75,3.76,15.23,0.0,7.241
2019,4,2,30.11,38.27,21.01,33.38,91.73,3.55,39.15,0.0,6.437
2019,4,3,29.93,37.9,21.75,35.5,91.72,4.67,17.92,0.01,6.9518
2019,4,4,28.76,37.44,19.6,34.85,91.87,4.51,4.97,0.0,7.5756
2019,4,5,29.49,38.17,20.39,39.08,91.87,3.78,27.43,0.0,7.1842
2019,4,6,29.47,38.13,20.82,32.64,91.83,3.96,9.5,0.0,7.3658
2019,4,7,29.43,37.2,21.16,33.61,91.73,3.81,35.08,0.0,6.889
2019,4,8,29.83,38.3,20.72,42.81,91.63,3.59,48.77,0.59,6.8647
2019,4,9,29.94,36.8,23.18,44.05,91.7,3.21,60.77,1.57,6.113
2019,4,10,30.74,37.97,23.7,38.23,91.73,4.48,26.89,0.11,6.9125
2019,4,11,29.09,36.2,21.51,39.5,91.7,2.73,30.35,0.03,6.9917
2019,4,12,30.47,38.87,22.22,31.0,91.64,3.36,16.59,0.0,7.2154
2019,4,13,29.62,37.88,20.85,34.78,91.67,3.95,3.33,0.0,7.5554
2019,4,14,29.81,38.8,21.11,28.78,91.71,4.69,3.86,0.0,7.4347
2019,4,15,29.21,38.14,20.36,25.55,91.71,3.28,3.13,0.0,7.6754
2019,4,16,30.22,38.3,21.28,34.87,91.68,3.18,16.04,0.0,7.4719
2019,4,17,29.01,35.69,22.91,49.81,91.76,2.67,62.73,3.84,5.7324
2019,4,18,29.4,35.68,24.34,48.32,91.71,2.96,60.45,5.62,6.5635
2019,4,19,29.3,36.91,22.82,51.72,91.61,2.1,63.76,2.67,6.7178
2019,4,20,27.12,33.68,22.9,62.65,91.54,2.75,60.7,3.01,6.3998
2019,4,21,27.73,34.89,21.36,59.89,91.48,2.37,71.01,0.77,6.5837
2019,4,22,28.29,35.36,22.62,54.86,91.48,2.87,59.97,3.61,6.2179
2019,4,23,26.47,31.79,20.87,57.91,91.64,3.43,65.78,1.71,6.5909
2019,4,24,28.55,36.71,20.74,44.22,91.66,3.92,41.67,0.0,7.224
