-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: latitude  23.2599   longitude 77.4126 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 475.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2019,1,1,18.93,28.03,9.56,19.45,96.43,1.74,1.42,0.0,4.7143
2019,1,2,17.94,28.8,11.1,21.54,96.37,3.21,0.28,0.0,4.6339
2019,1,3,16.48,26.93,7.86,27.63,96.5,2.4,0.92,0.0,4.5962
2019,1,4,17.37,27.23,7.97,25.76,96.4,2.32,60.53,0.0,3.8873
2019,1,5,17.42,27.79,9.35,26.94,96.16,3.48,51.84,0.0,4.0555
2019,1,6,17.14,27.07,9.62,30.33,96.09,4.13,2.11,0.0,4.4119
2019,1,7,13.47,22.91,5.76,43.48,96.29,3.29,28.49,0.0,3.6881
2019,1,8,14.7,23.95,6.37,51.62,96.22,2.07,8.87,0.0,4.2199
2019,1,9,14.76,24.76,6.97,37.99,96.22,3.04,7.52,0.0,4.3586
2019,1,10,15.33,24.62,6.75,38.34,96.17,1.9,9.9,0.0,4.6097
2019,1,11,15.63,25.6,6.78,34.81,96.18,2.46,25.21,0.0,4.5307
2019,1,12,17.17,26.71,7.88,34.88,96.06,2.59,21.09,0.0,3.997
2019,1,13,17.8,26.82,12.02,34.74,96.17,2.46,0.59,0.0,4.0759
2019,1,14,15.27,24.5,8.55,42.02,96.33,3.53,4.99,0.0,4.2931
2019,1,15,15.43,25.71,6.51,26.27,96.32,2.34,16.78,0.0,4.7342
2019,1,16,16.88,27.86,7.25,18.29,96.2,2.21,7.4,0.0,4.8792
2019,1,17,18.01,28.95,10.02,19.55,96.05,2.45,3.36,0.0,4.8182
2019,1,18,16.86,27.41,7.87,25.12,96.16,2.76,19.67,0.0,4.861
2019,1,19,17.7,28.45,7.85,20.14,96.19,2.43,18.81,0.0,4.9241
2019,1,20,19.46,30.37,9.27,19.86,96.15,2.73,13.38,0.0,5.0076
2019,1,21,20.38,31.45,11.47,20.44,95.84,4.82,15.68,0.0,4.5842
2019,1,22,18.81,27.26,11.86,39.91,95.86,3.47,26.07,0.11,4.3147
2019,1,23,17.72,26.2,11.33,39.54,96.03,3.2,22.24,0.02,4.4412
2019,1,24,17.25,26.2,9.64,41.01,96.1,2.7,47.12,0.01,3.8906
2019,1,25,16.65,24.42,11.22,46.23,96.16,3.31,71.41,0.41,1.6826
2019,1,26,14.4,22.45,8.27,51.5,96.44,3.91,39.97,0.0,3.876
2019,1,27,13.2,22.14,6.58,30.73,96.56,3.57,1.93,0.0,5.0933
2019,1,28,11.8,21.16,4.1,30.9,96.62,3.56,0.27,0.0,5.375
2019,1,29,12.63,23.08,4.43,27.04,96.54,2.88,1.04,0.0,5.4175
2019,1,30,14.87,25.07,5.61,19.59,96.34,2.23,7.79,0.0,5.3986
2019,1,31,16.88,27.28,7.28,22.0,96.15,3.56,77.63,0.0,4.0975
2019,2,1,17.97,28.09,10.57,25.98,96.15,3.3,1.58,0.0,4.7832
2019,2,2,17.63,27.79,9.18,36.5,96.15,2.99,15.05,0.0,4.4242
2019,2,3,19.06,28.29,9.6,38.01,96.3,2.31,32.36,0.0,3.726
2019,2,4,20.8,30.09,11.72,38.33,96.39,2.46,63.95,0.0,4.0066
2019,2,5,22.1,31.1,13.92,34.8,96.21,3.01,54.54,0.0,4.1225
2019,2,6,22.94,31.35,15.37,36.47,95.76,4.41,39.07,0.09,3.8729
2019,2,7,20.38,27.71,14.16,38.01,95.72,5.23,29.09,1.48,5.1283
2019,2,8,15.41,24.4,7.73,22.56,96.06,3.43,1.47,0.0,5.777
2019,2,9,13.54,22.9,5.67,24.74,96.35,3.37,17.96,0.0,5.8956
2019,2,10,14.7,24.85,5.53,22.91,96.42,2.61,12.78,0.0,5.8224
2019,2,11,15.71,26.95,6.6,22.1,96.38,2.84,5.38,0.0,5.699
2019,2,12,18.9,30.73,7.97,23.03,96.39,2.96,4.2,0.0,5.4571
2019,2,13,22.07,32.39,11.62,23.97,96.35,2.54,70.73,0.02,4.014
2019,2,14,23.5,32.02,15.42,36.66,95.98,4.2,65.17,0.42,4.2034
2019,2,15,21.74,30.4,15.47,38.85,95.96,3.33,19.18,0.76,5.0717
2019,2,16,18.02,26.83,10.88,33.87,96.18,3.44,9.56,0.01,5.5812
2019,2,17,17.62,27.94,8.9,26.09,96.0,2.88,1.87,0.0,6.0312
2019,2,18,21.3,31.51,12.71,19.96,95.7,2.72,62.31,0.0,3.5057
2019,2,19,23.11,32.99,13.89,23.61,95.81,2.95,16.22,0.0,5.6923
2019,2,20,25.26,34.54,18.12,25.61,96.07,2.24,18.04,0.0,5.731
2019,2,21,26.55,35.81,19.27,34.97,96.11,5.64,22.96,0.65,5.3282
2019,2,22,24.35,33.36,16.08,39.83,96.08,3.8,6.84,0.0,5.8294
2019,2,23,22.06,31.39,15.49,32.43,95.97,3.04,34.94,0.0,5.371
2019,2,24,21.34,30.62,13.38,24.38,95.67,3.48,66.86,0.0,4.2684
2019,2,25,21.39,30.08,13.59,22.45,95.59,3.5,1.19,0.0,6.241
2019,2,26,21.95,30.25,15.03,25.56,95.45,4.03,36.92,0.01,5.0657
2019,2,27,20.46,27.64,15.1,38.36,95.52,5.02,66.65,0.03,4.2139
2019,2,28,18.12,26.4,11.14,35.37,95.9,3.5,7.56,0.0,6.4236
2019,3,1,18.38,27.72,9.74,22.23,95.99,2.91,0.14,0.0,6.1442
2019,3,2,21.95,31.58,11.48,22.05,95.85,3.46,60.67,0.0,5.2104
2019,3,3,22.98,31.51,15.63,36.98,95.57,4.12,52.28,5.84,4.7138
2019,3,4,22.18,29.34,15.53,45.14,95.45,4.36,19.55,0.0,5.2757
2019,3,5,20.56,29.75,12.41,37.43,95.55,3.55,12.19,0.0,5.7996
2019,3,6,20.48,29.25,12.03,33.02,95.73,2.72,1.38,0.0,6.6106
2019,3,7,21.65,30.37,11.84,29.51,95.76,1.99,0.78,0.0,6.5933
2019,3,8,22.72,32.65,12.99,29.48,95.84,3.43,1.89,0.0,6.4531
2019,3,9,23.18,32.47,15.22,28.34,95.82,4.28,1.85,0.0,6.5412
2019,3,10,23.34,32.6,13.87,32.48,95.83,2.81,3.92,0.0,6.4999
2019,3,11,26.07,34.6,19.05,27.46,95.88,3.83,28.24,0.0,6.1162
2019,3,12,24.25,33.74,14.42,22.83,96.0,3.41,14.12,0.0,6.8148
2019,3,13,25.69,35.52,17.08,21.87,95.9,3.61,28.69,0.0,6.3739
2019,3,14,24.06,32.26,17.12,26.78,95.98,3.63,70.52,0.02,4.8684
2019,3,15,23.57,32.9,15.45,27.01,96.08,2.98,18.39,0.0,6.3254
2019,3,16,24.14,33.36,15.35,28.18,96.04,3.29,18.4,0.0,6.6348
2019,3,17,25.58,35.23,17.18,24.15,95.82,3.94,49.92,0.0,4.8907
2019,3,18,24.07,33.03,16.08,22.77,95.91,3.27,0.27,0.0,6.7258
2019,3,19,25.52,34.75,15.51,20.31,95.68,2.43,2.35,0.0,6.7742
2019,3,20,26.6,36.62,16.76,24.27,95.56,4.25,16.98,0.13,5.9095
2019,3,21,25.65,34.86,16.9,20.86,95.75,3.94,0.26,0.02,7.225
2019,3,22,26.07,35.34,17.02,21.68,95.9,3.09,1.54,0.0,6.9581
2019,3,23,26.04,35.35,17.27,21.55,95.96,3.03,0.25,0.0,6.948
2019,3,24,27.67,36.71,18.03,17.08,95.83,2.34,0.4,0.0,7.0452
2019,3,25,28.9,38.07,20.2,20.49,95.71,2.93,15.64,0.0,6.6178
2019,3,26,27.65,36.65,20.17,25.09,95.9,3.78,1.21,0.0,7.1578
2019,3,27,26.87,36.92,17.26,15.33,96.04,3.02,11.96,0.0,7.2622
2019,3,28,28.81,38.61,19.09,16.39,95.88,2.48,23.42,0.0,6.9905
2019,3,29,31.06,40.76,22.01,17.05,95.58,2.66,0.67,0.0,7.3416
2019,3,30,31.41,41.07,21.01,16.32,95.45,3.48,8.36,0.0,7.1002
2019,3,31,31.32,40.1,22.37,17.55,95.47,5.39,4.68,0.0,7.3507
2019,4,1,29.38,38.62,20.06,14.99,95.61,3.56,2.42,0.0,7.3397
2019,4,2,29.98,39.73,20.03,12.93,95.61,2.67,4.73,0.0,7.3819
2019,4,3,31.62,40.4,22.28,11.16,95.58,1.52,1.06,0.0,7.3181
2019,4,4,32.48,41.88,21.22,11.99,95.55,2.64,4.75,0.0,7.3627
2019,4,5,33.02,42.09,22.35,15.21,95.52,3.19,47.84,0.0,6.534
2019,4,6,32.45,41.36,23.52,17.36,95.5,3.4,14.65,0.0,7.2439
2019,4,7,33.03,41.1,23.05,17.15,95.35,3.24,43.13,0.0,5.8918
2019,4,8,32.35,40.61,24.47,19.94,95.31,3.26,35.18,0.56,7.1237
2019,4,9,31.55,41.03,22.68,16.22,95.38,4.47,1.17,0.0,7.6975
2019,4,10,32.45,41.52,24.04,18.82,95.48,3.85,15.17,0.0,7.213
2019,4,11,33.74,42.39,26.06,18.04,95.41,1.78,25.71,0.0,6.9065
2019,4,12,33.66,42.31,24.36,19.1,95.41,2.66,6.73,1.49,7.2439
2019,4,13,32.69,41.9,22.79,18.17,95.47,2.69,14.44,0.0,7.2295
2019,4,14,33.33,42.44,24.71,16.29,95.49,4.06,6.45,0.0,7.3771
2019,4,15,32.8,40.98,25.0,20.99,95.45,3.91,64.0,0.0,5.6858
2019,4,16,27.73,35.22,23.62,44.33,95.67,3.42,86.1,2.5,5.147
2019,4,17,26.26,33.32,19.85,49.61,95.63,5.52,42.41,8.56,5.8591
2019,4,18,26.09,34.02,18.43,44.68,95.72,2.56,9.18,0.05,7.3109
2019,4,19,27.53,35.66,19.54,39.03,95.56,2.96,8.19,0.0,7.3459
2019,4,20,28.67,37.53,19.97,30.21,95.36,3.41,1.39,0.0,7.829
2019,4,21,29.87,38.79,21.09,24.51,95.29,3.73,4.55,0.0,7.7964
2019,4,22,31.69,40.36,23.14,23.94,95.31,2.84,19.68,0.0,7.2665
2019,4,23,32.88,41.7,24.55,20.09,95.4,2.7,35.1,0.0,7.2202
2019,4,24,33.5,42.59,24.54,19.68,95.46,2.6,9.12,0.0,7.627
2019,4,25,34.4,43.25,26.22,20.06,95.43,3.97,17.77,0.0,7.0954
2019,4,26,35.02,43.22,26.06,19.75,95.37,4.36,9.14,0.0,7.4011
2019,4,27,35.69,44.13,27.43,19.01,95.28,3.14,1.22,0.0,7.6145
2019,4,28,34.84,44.18,26.64,15.58,95.23,3.13,3.79,0.0,7.9416
2019,4,29,34.27,44.07,24.01,12.77,95.15,4.05,4.31,0.0,8.0726
2019,4,30,34.09,43.49,25.65,13.7,95.07,5.61,1.63,0.0,7.9601
2019,5,1,33.25,42.26,24.67,16.98,94.96,5.01,1.57,0.0,7.5254
2019,5,2,33.71,41.55,26.0,19.84,94.97,4.0,15.89,0.0,7.5574
2019,5,3,33.12,41.11,25.32,17.72,95.01,3.31,40.27,0.0,7.0608
2019,5,4,32.86,40.8,25.27,21.36,95.33,3.2,67.07,0.0,6.4375
2019,5,5,32.83,39.71,26.28,25.18,95.52,5.08,33.73,0.17,6.7946
2019,5,6,33.58,42.15,25.09,17.74,95.34,3.74,13.6,0.13,7.7453
2019,5,7,34.18,41.84,26.21,16.61,95.26,5.43,22.36,0.0,7.5778
2019,5,8,33.83,41.48,26.77,16.24,95.33,6.47,1.21,0.0,7.9973
2019,5,9,32.94,41.09,24.84,19.48,95.28,6.33,9.29,0.0,8.1847
2019,5,10,33.1,40.15,25.89,25.66,95.32,5.39,34.12,0.0,7.5166
2019,5,11,32.97,40.43,25.75,25.11,95.4,6.17,4.66,0.0,7.8571
2019,5,12,33.97,41.51,25.28,25.14,95.29,3.49,57.01,0.03,6.5986
2019,5,13,34.26,41.22,27.24,25.47,95.21,4.04,41.5,1.56,6.9895
2019,5,14,33.9,41.17,25.93,22.96,95.2,4.05,26.37,0.41,6.9794
2019,5,15,34.49,41.5,26.76,22.39,95.3,3.66,29.7,0.0,6.9754
2019,5,16,33.7,40.44,26.91,24.69,95.38,5.23,9.77,2.02,7.8019
2019,5,17,34.01,40.95,26.83,25.93,95.4,5.86,15.98,0.0,7.5696
2019,5,18,32.79,39.06,26.12,28.94,95.4,5.2,11.44,0.0,7.2881
2019,5,19,33.24,39.68,25.53,28.39,95.4,2.07,21.47,0.0,7.3049
2019,5,20,35.86,41.84,29.11,23.91,95.39,1.23,11.32,0.0,7.4942
2019,5,21,36.21,43.48,28.48,21.06,95.28,3.49,20.29,0.0,7.6373
2019,5,22,36.28,43.48,28.85,21.26,95.18,5.28,9.26,0.0,7.879
2019,5,23,36.06,42.89,28.13,22.34,95.12,4.68,9.58,0.0,7.8523
2019,5,24,36.12,42.7,29.49,23.23,95.15,5.89,31.48,0.0,7.4088
2019,5,25,35.87,41.94,29.4,24.83,95.12,4.6,34.25,0.0,6.7726
2019,5,26,36.01,43.21,28.22,20.45,95.02,2.89,29.1,0.0,7.375
2019,5,27,36.76,43.93,28.99,19.04,95.02,3.18,20.65,0.0,7.6226
2019,5,28,37.22,43.75,30.78,18.84,94.95,2.7,38.75,0.0,7.1513
2019,5,29,38.05,45.18,30.3,16.48,94.85,2.54,30.0,0.0,7.1878
2019,5,30,38.2,45.07,31.32,18.0,94.82,2.42,55.19,0.0,6.4356
2019,5,31,37.68,43.5,32.47,19.77,94.91,3.97,61.64,0.0,6.251
2019,6,1,37.78,44.54,31.37,20.43,94.98,5.07,30.01,0.0,7.585
2019,6,2,38.33,45.01,31.47,21.89,94.89,4.59,52.81,0.0,6.679
2019,6,3,38.1,45.75,30.28,19.3,94.85,5.99,79.32,0.0,6.7474
2019,6,4,38.02,45.56,29.72,17.59,94.84,4.76,94.54,0.0,6.4334
2019,6,5,38.73,46.25,30.88,19.19,94.85,5.58,71.24,0.0,7.3594
2019,6,6,39.26,46.27,31.68,19.79,94.85,5.38,64.45,0.0,7.2847
2019,6,7,39.65,46.12,33.29,17.88,94.9,4.73,98.8,0.0,6.6845
2019,6,8,39.32,45.48,32.5,18.03,94.86,2.73,89.86,0.05,6.5417
2019,6,9,39.09,44.99,33.24,19.56,94.74,1.94,77.8,0.0,6.8011
2019,6,10,38.82,46.38,31.31,18.63,94.59,4.26,72.12,0.12,7.0375
2019,6,11,38.86,45.86,31.62,21.52,94.56,3.97,51.93,0.0,7.4815
2019,6,12,39.24,44.61,33.41,24.26,94.6,3.75,59.97,0.05,6.3283
2019,6,13,36.76,40.98,32.12,33.11,94.77,5.11,65.55,0.55,6.3754
2019,6,14,35.97,41.08,31.2,36.4,94.82,4.2,56.2,5.68,5.9513
2019,6,15,33.26,37.92,29.68,48.33,94.96,5.01,81.29,9.33,5.8193
2019,6,16,32.76,38.18,27.05,48.62,95.03,6.17,38.87,0.01,7.0003
2019,6,17,33.3,39.28,27.49,44.8,95.02,6.46,52.66,0.22,6.5206
2019,6,18,32.98,39.11,25.99,40.46,94.93,4.83,64.72,0.12,6.257
2019,6,19,30.11,33.22,26.72,56.94,94.88,5.84,74.14,7.93,3.3348
2019,6,20,30.97,37.82,24.4,56.45,94.93,5.01,27.06,0.0,7.1959
2019,6,21,33.08,39.6,25.61,45.78,94.92,2.88,80.1,0.05,5.8778
2019,6,22,34.22,40.64,28.16,46.93,94.8,3.76,72.79,3.92,5.7826
2019,6,23,33.1,39.34,26.92,47.57,94.75,3.25,69.38,0.17,5.5164
2019,6,24,34.14,39.89,27.52,43.23,94.87,1.86,77.74,1.72,5.5985
2019,6,25,34.49,39.89,29.22,45.32,94.97,3.78,62.22,0.04,6.487
2019,6,26,33.68,38.86,29.27,50.49,94.92,3.82,73.36,5.72,5.737
