-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: latitude  20.2961   longitude 85.8245 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 72.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2019,1,1,15.44,23.15,7.95,64.56,101.07,2.09,5.64,0.0,4.5343
2019,1,2,16.27,23.57,9.66,64.85,101.06,2.07,3.86,0.0,4.2905
2019,1,3,16.16,24.47,9.78,66.94,101.07,2.66,6.74,0.0,3.9593
2019,1,4,16.6,23.99,8.67,63.32,101.11,2.0,3.1,0.0,3.9396
2019,1,5,16.91,23.48,9.44,61.56,100.96,1.53,5.86,0.0,4.0277
2019,1,6,17.38,24.88,10.32,61.98,100.81,1.65,5.37,0.0,4.5348
2019,1,7,17.91,25.37,10.33,61.18,100.67,1.64,2.23,0.0,4.907
2019,1,8,17.13,25.09,10.7,71.06,100.6,2.9,2.21,0.0,3.7925
2019,1,9,17.57,24.81,10.51,68.25,100.71,1.82,1.52,0.0,3.9715
2019,1,10,17.65,24.63,10.33,63.18,100.76,2.01,2.1,0.0,3.8959
2019,1,11,17.8,23.8,12.52,73.57,100.85,1.2,11.71,0.0,3.5282
2019,1,12,17.85,24.26,10.88,67.9,100.84,1.19,6.14,0.0,3.7826
2019,1,13,18.53,25.03,11.3,66.78,100.84,1.26,12.88,0.0,3.9785
2019,1,14,18.5,25.76,11.92,71.04,100.68,2.41,11.7,0.0,3.6091
2019,1,15,18.61,25.36,12.71,70.02,100.77,2.15,2.83,0.0,3.2885
2019,1,16,17.76,24.15,10.67,71.01,100.86,1.31,2.85,0.0,4.158
2019,1,17,17.72,24.45,10.55,65.34,100.69,1.51,6.68,0.0,4.5898
2019,1,18,18.23,26.21,10.6,59.08,100.66,2.08,14.21,0.0,4.4407
2019,1,19,18.31,26.12,9.73,56.52,100.76,1.71,16.55,0.0,4.1911
2019,1,20,18.79,26.55,10.63,52.24,100.79,1.87,16.93,0.0,4.1957
2019,1,21,18.83,27.78,10.96,58.83,100.72,2.08,7.84,0.0,4.583
2019,1,22,19.79,27.7,14.41,74.33,100.75,1.83,23.34,0.0,4.3049
2019,1,23,20.01,27.8,15.21,76.76,100.69,1.91,11.97,0.0,4.8206
2019,1,24,20.07,28.64,13.21,72.9,100.74,1.81,31.53,0.0,4.6392
2019,1,25,19.78,28.18,13.76,74.58,100.78,2.14,29.01,0.0,4.8182
2019,1,26,20.73,27.48,15.1,70.59,100.81,1.45,54.36,0.0,3.6538
2019,1,27,20.2,26.91,14.9,72.31,100.86,2.49,92.93,0.01,1.1021
2019,1,28,20.78,25.94,15.72,73.1,100.88,2.25,91.21,0.0,1.9603
2019,1,29,19.81,26.62,13.81,63.12,100.86,3.1,33.64,0.0,3.7032
2019,1,30,17.12,25.42,9.22,52.97,100.97,2.36,4.33,0.0,5.2243
2019,1,31,17.61,25.9,9.83,56.42,100.94,1.77,1.49,0.0,5.4602
2019,2,1,19.23,27.77,10.75,48.79,100.82,1.49,2.61,0.0,5.2798
2019,2,2,20.05,28.63,11.31,46.36,100.66,1.78,6.25,0.0,5.0551
2019,2,3,20.62,28.91,12.78,53.56,100.83,1.62,4.77,0.0,5.125
2019,2,4,21.7,29.79,13.12,53.84,100.96,1.72,8.9,0.0,5.0803
2019,2,5,21.3,29.77,12.91,52.23,100.86,2.1,3.12,0.0,5.0527
2019,2,6,22.05,30.38,13.94,53.98,100.55,2.1,2.43,0.0,4.9829
2019,2,7,22.7,30.68,17.32,60.35,100.55,2.06,6.47,0.0,5.1612
2019,2,8,22.78,30.8,16.48,71.61,100.54,2.94,81.15,0.01,3.8453
2019,2,9,22.91,30.15,16.63,68.01,100.6,2.2,26.48,0.05,4.5708
2019,2,10,19.78,28.06,12.15,47.73,100.92,2.22,13.78,0.0,5.027
2019,2,11,19.71,27.7,11.57,53.48,100.99,1.75,1.54,0.0,5.5985
2019,2,12,20.03,28.72,12.19,53.36,101.05,1.69,9.01,0.0,5.6172
2019,2,13,21.08,29.9,12.68,54.86,101.0,1.62,5.65,0.0,5.4698
2019,2,14,22.39,31.66,15.58,60.14,100.71,1.75,12.96,0.0,5.3753
2019,2,15,23.38,32.26,16.64,65.61,100.64,1.77,16.79,0.0,5.4763
2019,2,16,23.04,30.33,17.08,69.25,100.63,2.17,58.41,4.0,3.9847
2019,2,17,23.79,31.42,18.69,61.49,100.38,3.56,29.86,0.27,4.8079
2019,2,18,22.67,31.44,14.33,45.21,100.29,2.04,8.11,0.0,5.2961
2019,2,19,24.44,33.16,17.78,59.6,100.5,1.64,23.88,0.01,5.4007
2019,2,20,25.67,34.61,18.81,67.39,100.74,2.0,18.4,0.06,5.5589
