-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: latitude  30.7333   longitude 76.7794 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 423.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2019,1,1,12.24,19.11,8.42,47.97,96.96,2.16,68.09,0.0,2.5205
2019,1,2,11.83,18.82,8.04,55.59,97.06,2.53,39.44,0.02,2.9753
2019,1,3,11.49,19.71,6.61,60.18,97.08,3.77,22.82,0.0,3.3938
2019,1,4,11.83,19.62,5.94,53.93,96.93,2.33,67.85,0.0,2.8786
2019,1,5,12.42,18.51,8.1,54.79,96.94,2.66,98.1,0.02,2.0731
2019,1,6,10.67,13.53,8.51,75.89,96.93,2.34,58.83,2.03,1.8341
2019,1,7,11.8,19.04,7.56,64.56,96.99,2.24,21.08,0.0,3.5906
2019,1,8,12.24,21.06,7.05,58.33,96.7,3.36,67.51,0.0,3.0643
2019,1,9,11.97,20.06,6.96,59.54,96.68,4.46,1.89,0.0,4.0913
2019,1,10,12.53,20.12,7.22,49.96,96.66,1.92,58.66,0.0,3.1495
2019,1,11,13.02,19.29,9.26,52.65,96.9,1.94,33.91,0.0,3.5976
2019,1,12,13.1,19.37,9.31,58.87,96.82,1.94,73.0,0.27,3.317
2019,1,13,12.33,19.47,7.18,59.13,97.03,3.16,21.49,1.06,3.463
2019,1,14,10.82,19.27,4.89,45.61,96.87,5.66,9.56,0.0,4.1801
2019,1,15,10.53,19.57,3.88,42.31,96.72,4.06,83.13,0.0,3.2134
2019,1,16,13.53,21.0,8.06,39.33,96.81,1.51,71.55,0.0,2.669
2019,1,17,13.05,21.93,8.48,49.63,96.72,3.12,31.28,0.0,3.9914
2019,1,18,13.47,21.88,7.73,44.57,96.69,2.66,57.74,0.0,3.8155
2019,1,19,14.85,21.54,11.45,48.47,96.69,2.37,94.16,0.0,3.2374
2019,1,20,16.79,22.58,13.48,46.61,96.65,1.62,99.56,0.0,2.2745
2019,1,21,15.02,19.46,11.81,59.49,96.41,4.21,98.94,3.98,1.806
2019,1,22,10.47,12.97,7.84,86.67,96.5,5.55,77.62,36.6,0.8357
2019,1,23,11.49,17.15,7.53,72.09,96.82,1.87,21.4,1.83,3.6895
2019,1,24,11.01,17.92,6.27,63.95,97.03,2.22,27.99,0.01,4.0171
2019,1,25,8.23,14.07,4.24,71.48,97.02,2.3,39.99,3.9,3.5285
2019,1,26,8.64,17.18,2.84,60.09,97.18,2.71,33.99,0.11,4.381
2019,1,27,9.38,16.52,4.58,54.55,97.18,2.87,48.77,0.31,3.653
2019,1,28,9.25,17.82,3.38,54.99,97.14,3.91,3.92,0.02,4.5372
2019,1,29,9.89,19.24,3.17,47.51,97.03,3.81,33.31,0.0,4.6834
2019,1,30,10.81,16.21,5.91,57.68,96.91,2.9,91.06,0.47,1.9687
2019,1,31,12.88,18.8,8.88,62.51,96.83,3.59,92.65,1.62,2.4302
2019,2,1,12.11,18.44,7.73,63.48,96.94,2.86,75.61,0.73,2.5541
2019,2,2,12.87,20.65,8.28,59.55,96.85,2.09,34.35,0.0,4.2101
2019,2,3,13.39,21.16,8.66,54.93,96.95,2.18,43.28,0.0,3.9658
2019,2,4,14.85,22.54,8.88,48.17,97.0,1.69,84.23,0.0,3.497
2019,2,5,16.07,23.06,10.11,49.5,96.84,2.0,86.57,0.0,3.5174
2019,2,6,15.89,21.83,11.8,64.06,96.34,4.62,52.62,0.44,3.3382
2019,2,7,14.31,18.96,10.7,87.0,96.07,6.66,84.91,28.59,0.7363
2019,2,8,10.93,17.34,5.98,67.56,96.7,3.64,32.59,4.55,4.4774
2019,2,9,10.92,18.76,5.22,61.31,96.87,3.9,14.37,0.0,5.0393
2019,2,10,11.05,17.08,5.92,60.19,97.01,2.99,91.05,0.0,3.7865
2019,2,11,13.85,20.86,8.45,54.12,97.06,1.86,91.32,0.0,4.1016
2019,2,12,15.0,20.74,11.67,54.57,97.13,1.6,95.62,0.0,3.642
2019,2,13,16.29,21.89,12.59,55.04,97.03,1.51,93.02,0.04,3.5827
2019,2,14,15.72,20.7,12.13,72.26,96.65,4.55,96.46,7.58,1.5322
2019,2,15,13.21,16.15,10.0,86.84,96.67,2.49,90.8,7.18,2.1365
2019,2,16,13.04,19.42,8.9,76.63,96.8,2.26,50.52,0.02,4.033
2019,2,17,12.55,20.07,7.29,67.51,96.42,3.62,73.38,0.05,2.8534
2019,2,18,14.81,22.25,9.07,60.83,96.06,2.63,80.84,8.12,2.0311
2019,2,19,14.42,20.77,8.74,65.89,96.44,3.4,85.82,1.47,4.1335
2019,2,20,15.42,21.06,12.7,65.74,96.78,4.9,99.53,2.47,2.3306
2019,2,21,18.1,22.95,14.44,67.66,96.74,4.26,84.02,5.74,3.3187
2019,2,22,16.82,22.92,11.05,71.62,96.72,2.78,53.66,0.63,4.0973
2019,2,23,13.94,21.59,8.63,66.02,96.52,3.8,35.76,0.0,5.5884
2019,2,24,14.9,21.8,9.97,55.42,96.25,2.47,39.33,0.0,5.0088
2019,2,25,13.96,20.29,9.54,51.45,96.22,2.2,43.44,0.0,5.3172
2019,2,26,14.18,21.25,9.22,51.36,96.25,3.87,75.76,1.76,4.4496
2019,2,27,10.43,15.8,7.01,74.67,96.35,2.66,59.16,9.52,4.0462
2019,2,28,11.25,18.76,5.5,62.23,96.6,3.11,13.04,0.0,5.5913
2019,3,1,12.95,21.28,5.88,59.68,96.63,3.47,40.43,0.0,5.6006
