-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: latitude  13.0827   longitude 80.2707 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 48.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2019,1,1,22.22,27.1,18.61,69.45,101.2,4.23,24.11,0.0,5.0839
2019,1,2,22.74,27.76,18.9,72.73,101.17,4.19,20.75,0.0,5.0767
2019,1,3,23.23,28.03,20.06,72.39,101.22,4.14,13.59,0.0,5.0122
2019,1,4,23.08,27.94,19.64,72.75,101.16,4.31,7.61,0.0,5.1811
2019,1,5,23.14,27.94,19.43,72.64,101.02,4.01,21.82,0.0,4.8754
2019,1,6,23.09,27.71,19.43,73.77,100.9,3.64,28.29,0.0,4.8998
2019,1,7,23.64,28.62,20.23,75.06,100.81,3.69,34.65,0.0,4.7887
2019,1,8,23.01,28.76,18.69,75.19,100.85,3.35,4.25,0.0,5.1106
2019,1,9,23.18,28.66,18.85,73.49,100.84,3.03,2.78,0.0,5.0016
2019,1,10,23.54,28.4,20.05,74.62,100.83,3.86,10.98,0.0,5.1079
2019,1,11,23.69,28.49,20.56,72.14,100.91,3.96,12.68,0.01,4.9222
2019,1,12,23.22,28.22,19.46,73.18,100.91,4.47,13.83,0.0,5.2776
2019,1,13,23.33,28.47,18.88,74.22,100.91,3.94,60.42,0.01,4.9658
2019,1,14,23.33,28.1,20.27,74.69,100.85,4.12,48.89,0.0,4.9236
2019,1,15,23.33,28.8,19.01,73.53,100.88,4.45,89.01,0.0,4.5564
2019,1,16,23.81,28.8,19.94,76.64,100.91,4.11,52.21,0.0,4.4062
2019,1,17,23.68,28.48,20.07,74.42,100.82,3.76,25.69,0.01,4.3198
2019,1,18,23.5,28.41,20.05,73.19,100.82,3.86,17.15,0.0,4.703
2019,1,19,23.3,28.41,19.78,71.94,100.9,3.69,17.51,0.0,5.4108
2019,1,20,23.27,28.71,19.49,71.55,100.99,3.81,82.06,0.0,4.4719
2019,1,21,23.43,28.79,19.43,71.85,100.92,3.4,77.93,0.0,4.3913
2019,1,22,23.68,28.78,20.0,72.03,100.9,2.92,16.72,0.0,5.5334
2019,1,23,24.62,30.02,20.81,74.0,100.81,3.34,19.26,0.0,5.2862
2019,1,24,25.03,30.48,21.36,74.85,100.85,3.13,12.17,0.0,5.6244
2019,1,25,25.52,30.13,21.98,77.85,100.8,3.56,19.96,0.0,5.4782
2019,1,26,25.84,29.93,22.94,75.68,100.81,3.91,19.58,0.05,5.3263
2019,1,27,25.74,29.84,23.29,73.14,100.86,3.79,32.77,0.06,4.8883
2019,1,28,24.93,27.9,22.8,72.48,100.92,3.81,83.36,0.71,3.4898
2019,1,29,24.8,28.75,22.18,73.39,100.98,5.07,43.52,0.26,4.6913
2019,1,30,24.45,29.23,21.23,73.51,101.0,5.12,24.89,0.02,5.3393
2019,1,31,24.31,29.09,20.35,71.74,100.97,4.58,20.0,0.0,5.3794
2019,2,1,24.54,29.37,20.92,70.36,100.93,4.17,22.7,0.0,5.5106
2019,2,2,24.91,30.19,20.79,70.95,100.82,3.99,26.82,0.0,5.5656
2019,2,3,25.21,30.46,20.93,71.86,100.92,4.23,33.77,0.0,5.5632
2019,2,4,26.06,30.79,22.95,70.88,101.05,5.08,44.09,0.0,4.4822
2019,2,5,25.86,30.52,22.78,70.1,101.03,4.61,35.51,0.0,4.9546
2019,2,6,25.83,31.37,21.69,68.19,100.78,3.5,13.86,0.0,5.5646
2019,2,7,26.15,31.55,22.16,68.11,100.74,3.15,20.23,0.0,5.4924
2019,2,8,27.0,32.74,22.84,71.02,100.73,3.04,12.08,0.03,5.6206
2019,2,9,27.52,32.97,23.84,71.55,100.75,3.01,20.24,0.02,5.5142
2019,2,10,27.0,31.48,24.38,73.6,100.91,3.55,43.89,0.04,4.9356
2019,2,11,26.82,31.09,24.31,72.47,100.99,5.28,72.86,0.0,4.3646
2019,2,12,26.16,30.84,23.12,70.21,101.1,5.09,24.37,0.0,5.4367
2019,2,13,25.75,30.79,22.4,72.22,101.14,4.7,24.28,0.0,5.767
2019,2,14,26.37,32.01,22.13,72.29,100.87,3.92,23.78,0.0,5.7766
2019,2,15,26.73,32.56,22.76,69.77,100.84,3.06,6.48,0.0,6.0598
2019,2,16,27.66,33.45,23.51,69.41,100.76,3.51,7.64,0.0,5.6018
2019,2,17,28.67,34.44,24.65,67.14,100.6,3.18,15.5,0.0,5.8608
2019,2,18,28.81,34.27,24.5,70.12,100.48,3.56,27.91,0.0,5.6086
2019,2,19,28.38,33.61,24.93,70.82,100.65,3.97,8.29,0.0,5.8673
2019,2,20,27.65,32.78,23.97,69.94,100.93,4.09,14.21,0.0,5.671
2019,2,21,27.19,32.25,23.4,67.59,101.07,3.94,17.63,0.0,6.2088
2019,2,22,26.6,32.95,22.35,64.24,100.87,3.01,6.58,0.0,6.654
2019,2,23,26.77,33.98,20.96,60.33,100.67,2.88,1.73,0.0,6.6578
2019,2,24,27.07,34.0,21.77,65.79,100.56,3.15,1.81,0.0,6.3154
2019,2,25,27.18,34.35,21.41,67.43,100.46,4.14,4.36,0.0,6.7075
2019,2,26,27.68,34.31,22.54,70.4,100.37,4.73,16.05,0.01,6.3703
2019,2,27,28.58,34.61,24.83,69.44,100.28,5.23,41.59,0.06,5.9765
2019,2,28,28.76,33.79,25.88,71.21,100.34,4.81,38.39,1.48,4.9687
2019,3,1,28.61,33.45,25.41,70.92,100.45,4.41,17.8,0.37,6.0043
2019,3,2,28.31,33.03,25.2,65.2,100.59,4.22,16.38,0.0,5.9784
2019,3,3,28.47,34.04,24.71,64.07,100.5,3.58,11.98,0.0,6.2402
2019,3,4,28.79,34.91,24.19,64.31,100.36,4.35,13.35,0.0,6.2743
2019,3,5,29.9,37.51,24.64,62.77,100.23,4.93,8.84,0.0,6.48
2019,3,6,30.45,37.47,25.26,64.73,100.26,4.74,4.0,0.0,5.9494
2019,3,7,30.34,36.59,26.1,68.53,100.26,5.7,9.07,0.01,6.241
2019,3,8,30.04,35.23,26.75,68.04,100.46,4.88,28.15,0.0,6.0502
2019,3,9,29.97,34.88,26.8,65.12,100.62,4.21,16.41,0.01,6.031
2019,3,10,29.49,35.52,25.41,64.56,100.65,4.49,5.53,0.0,6.7186
2019,3,11,29.22,35.37,24.88,63.95,100.75,4.05,11.71,0.0,6.6502
2019,3,12,29.02,35.72,23.62,61.79,100.76,4.2,14.57,0.0,6.6041
2019,3,13,28.71,35.58,22.89,59.9,100.8,3.51,3.99,0.0,6.6358
2019,3,14,29.32,36.14,23.12,56.56,100.75,3.55,13.65,0.0,6.7366
2019,3,15,28.92,35.53,23.29,57.16,100.75,3.59,10.39,0.0,6.5258
2019,3,16,28.75,34.89,23.98,62.93,100.77,3.42,6.72,0.0,6.2618
2019,3,17,28.47,34.39,24.31,61.2,100.74,3.43,12.25,0.01,6.8616
2019,3,18,28.5,34.58,23.99,61.24,100.73,4.03,11.71,0.0,7.1861
2019,3,19,29.04,35.53,23.67,61.85,100.5,4.37,14.34,0.0,6.5611
2019,3,20,29.13,35.25,24.8,65.01,100.49,5.09,8.28,0.0,6.3204
2019,3,21,28.85,35.33,23.49,60.21,100.6,4.36,11.55,0.0,6.8117
2019,3,22,29.26,35.64,24.25,64.06,100.62,4.64,22.9,0.0,6.487
