-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: latitude  28.6139   longitude 77.209 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 206.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2019,1,1,11.56,20.72,4.57,43.05,99.53,2.55,16.58,0.0,3.4099
2019,1,2,13.93,22.08,8.5,41.76,99.54,1.76,13.9,0.0,3.2508
2019,1,3,11.75,21.24,4.88,52.09,99.62,3.59,13.01,0.0,2.9621
2019,1,4,11.43,18.41,5.26,55.33,99.52,2.35,75.69,0.0,2.243
2019,1,5,12.79,22.62,5.27,52.08,99.4,2.93,35.21,0.0,3.0211
2019,1,6,12.34,18.95,8.4,63.8,99.31,2.83,64.55,0.9,1.8187
2019,1,7,12.43,21.34,6.76,67.93,99.46,3.44,9.03,0.06,2.8879
2019,1,8,12.23,21.62,6.02,60.67,99.28,3.57,36.61,0.0,3.2846
2019,1,9,12.44,22.5,5.62,49.31,99.24,4.33,0.23,0.0,3.7186
2019,1,10,13.08,21.69,4.76,44.41,99.24,2.82,41.81,0.0,3.5518
2019,1,11,14.44,21.62,7.21,36.52,99.4,1.05,16.32,0.0,3.1142
2019,1,12,15.27,21.15,9.8,36.57,99.28,1.08,39.64,0.0,2.8282
2019,1,13,13.77,22.0,7.78,57.53,99.48,3.01,34.48,0.0,2.43
2019,1,14,11.85,20.89,5.03,42.14,99.4,5.39,4.62,0.0,4.1518
2019,1,15,11.0,22.22,2.7,34.47,99.32,4.19,92.02,0.0,3.1219
2019,1,16,13.61,21.33,6.74,31.15,99.34,1.33,72.13,0.0,3.1865
2019,1,17,12.18,22.26,4.73,36.62,99.24,2.88,10.45,0.0,3.5448
2019,1,18,12.39,22.13,4.25,45.86,99.24,3.05,8.16,0.0,3.601
2019,1,19,14.79,24.93,6.64,41.06,99.21,2.65,33.07,0.0,3.5491
2019,1,20,18.05,26.51,11.86,35.15,99.12,1.74,79.15,0.0,3.5597
2019,1,21,16.12,22.96,11.89,51.0,98.89,4.63,98.09,14.89,1.7162
2019,1,22,13.94,19.7,9.67,77.31,98.95,3.72,89.45,18.7,1.9442
2019,1,23,14.31,21.3,9.74,68.17,99.25,2.91,33.8,0.01,2.8366
2019,1,24,14.36,21.41,9.33,63.81,99.44,3.1,71.77,1.0,2.5656
2019,1,25,11.3,18.68,6.3,64.11,99.5,3.66,34.32,1.19,3.2316
2019,1,26,10.02,19.33,2.88,56.6,99.73,3.27,1.55,0.0,4.2499
2019,1,27,9.42,17.05,2.9,52.8,99.76,3.94,32.82,0.0,3.0922
2019,1,28,9.55,19.71,1.86,47.06,99.7,4.32,0.31,0.0,4.2828
2019,1,29,10.37,21.26,2.32,42.77,99.57,4.08,12.07,0.0,4.6366
2019,1,30,11.29,20.03,3.66,42.05,99.46,2.72,79.19,0.0,3.5342
2019,1,31,13.3,22.15,6.31,42.03,99.32,3.57,88.6,0.03,2.7542
2019,2,1,13.51,22.6,7.54,51.54,99.39,2.49,65.86,0.0,3.0744
2019,2,2,12.07,20.22,5.55,56.52,99.37,3.21,59.57,0.0,2.2798
2019,2,3,12.78,22.19,5.23,56.4,99.5,2.86,59.85,0.0,2.4509
2019,2,4,13.98,23.36,5.62,48.33,99.54,2.56,47.39,0.0,3.3535
2019,2,5,16.96,25.94,9.15,49.18,99.3,2.3,49.49,0.02,2.7223
2019,2,6,17.5,24.65,13.4,71.34,98.82,3.58,50.11,3.84,3.0703
2019,2,7,16.32,22.93,10.67,75.74,98.52,5.01,81.04,10.76,1.4297
2019,2,8,12.79,21.03,6.03,56.55,99.14,3.3,7.16,0.23,4.6522
2019,2,9,11.93,21.01,4.96,49.2,99.4,4.2,3.54,0.0,4.7534
2019,2,10,12.85,20.87,5.08,44.8,99.55,2.51,72.59,0.0,3.7337
2019,2,11,14.17,21.63,8.2,46.28,99.6,1.92,64.74,0.0,3.7774
2019,2,12,15.61,23.51,9.06,42.6,99.62,1.63,82.61,0.0,3.7738
2019,2,13,16.68,23.17,11.52,41.56,99.51,1.58,97.76,0.0,3.3389
2019,2,14,17.04,24.17,13.34,56.1,99.09,4.21,81.73,2.5,2.0618
2019,2,15,15.98,23.8,10.91,77.94,99.08,2.12,78.38,4.9,2.8032
2019,2,16,15.24,22.81,10.68,72.56,99.25,2.36,73.97,0.08,2.4331
2019,2,17,14.73,23.6,7.94,55.01,98.96,3.65,55.47,0.0,4.2331
2019,2,18,17.07,25.35,9.65,44.98,98.53,2.69,77.14,0.09,3.287
2019,2,19,18.26,26.08,10.58,51.55,98.87,2.28,68.62,0.67,3.7637
2019,2,20,18.0,24.95,13.86,59.04,99.24,3.17,99.55,1.37,1.5782
2019,2,21,20.54,28.19,13.81,50.58,99.17,3.47,89.97,0.15,3.9389
2019,2,22,18.46,26.15,12.69,58.68,99.19,4.2,30.12,0.0,4.2648
2019,2,23,14.79,23.34,8.68,48.33,99.07,4.71,44.82,0.0,5.4046
2019,2,24,16.13,26.07,8.67,40.92,98.75,3.22,45.2,0.0,5.003
2019,2,25,16.82,25.94,8.8,42.04,98.63,2.28,49.27,0.0,4.5749
2019,2,26,16.36,24.84,9.92,51.12,98.7,2.66,94.69,2.54,2.6923
2019,2,27,13.76,20.57,8.35,62.49,98.77,3.04,43.28,0.75,3.7476
2019,2,28,14.0,22.76,7.37,49.59,99.09,3.43,7.01,0.0,5.5517
2019,3,1,15.54,24.95,6.25,39.93,99.15,2.88,16.92,0.0,5.3959
2019,3,2,16.57,25.62,10.89,52.56,99.13,2.69,99.72,6.42,1.6985
2019,3,3,17.16,25.46,9.89,65.43,98.84,2.87,62.1,0.22,3.5995
2019,3,4,17.75,24.83,11.06,62.05,98.56,2.72,29.55,0.27,4.1443
2019,3,5,17.12,25.7,10.1,51.86,98.65,3.66,15.94,0.0,5.4017
2019,3,6,16.6,25.85,8.73,44.5,98.78,3.69,4.28,0.0,6.0482
2019,3,7,18.11,27.32,10.32,38.22,98.83,2.79,8.73,0.0,5.6054
2019,3,8,19.64,29.01,12.6,41.94,98.95,2.46,20.65,0.0,5.0974
2019,3,9,19.57,28.52,12.89,44.42,98.93,3.75,19.21,0.0,5.3602
2019,3,10,19.31,27.75,10.4,42.91,98.97,2.72,0.2,0.0,6.0761
2019,3,11,21.09,30.39,12.0,41.6,98.9,4.34,37.04,0.15,5.0366
2019,3,12,20.25,27.68,13.54,49.53,99.11,3.75,63.6,0.02,4.4234
2019,3,13,18.75,24.16,13.96,42.05,99.19,3.02,90.19,0.0,2.5519
2019,3,14,19.6,27.38,12.59,44.28,99.23,3.4,48.39,1.22,3.6178
2019,3,15,19.24,28.36,11.36,46.77,99.32,3.43,1.8,0.0,6.0247
2019,3,16,19.56,28.43,12.0,42.35,99.18,3.2,45.15,0.0,5.7161
2019,3,17,20.47,30.13,12.87,36.75,99.02,2.89,40.73,0.0,5.9011
2019,3,18,20.84,30.35,11.53,37.72,98.96,2.79,23.1,0.0,6.0526
2019,3,19,22.27,31.58,13.14,39.14,98.64,3.56,3.09,0.0,6.282
2019,3,20,24.06,34.13,14.94,37.13,98.49,3.69,50.49,0.27,5.6522
2019,3,21,23.62,32.76,15.83,42.59,98.77,2.21,15.83,0.02,5.8133
2019,3,22,22.79,32.12,15.12,31.29,98.97,4.85,3.97,0.0,6.5722
2019,3,23,22.53,33.07,13.37,34.86,98.89,5.22,8.69,0.0,6.3929
2019,3,24,24.56,34.51,15.62,41.03,98.75,4.37,14.61,0.0,6.3245
2019,3,25,23.89,31.73,18.0,42.13,98.79,3.4,41.91,0.01,5.387
2019,3,26,23.4,33.27,14.96,35.68,98.93,4.21,0.96,0.0,6.7886
2019,3,27,24.01,34.54,14.37,32.52,98.98,3.59,53.06,0.0,5.5862
2019,3,28,27.03,36.52,17.78,30.98,98.77,2.78,30.55,0.0,6.0778
2019,3,29,28.79,38.29,21.44,34.06,98.48,2.39,27.13,0.0,6.2868
2019,3,30,29.59,38.91,22.42,34.57,98.37,1.8,49.97,0.22,6.2316
2019,3,31,27.13,37.41,19.61,26.72,98.41,4.53,6.85,0.01,6.5172
2019,4,1,25.45,36.48,15.57,24.6,98.47,4.44,4.78,0.0,7.1906
2019,4,2,27.42,37.37,20.1,21.75,98.55,2.49,13.9,0.0,6.972
2019,4,3,28.54,38.54,18.45,22.53,98.44,2.64,4.8,0.0,6.9434
2019,4,4,29.88,39.82,20.5,25.93,98.5,2.35,15.54,0.0,6.7104
2019,4,5,31.11,41.08,22.21,26.92,98.37,2.23,25.28,0.0,6.5124
2019,4,6,32.15,41.32,24.52,28.1,98.28,2.52,46.02,0.0,6.4805
2019,4,7,30.87,39.03,22.61,26.69,98.17,2.63,77.67,0.0,5.5438
2019,4,8,29.78,37.59,22.27,27.78,98.29,2.31,32.24,1.23,6.2904
2019,4,9,29.81,39.89,21.28,26.97,98.26,2.41,29.78,0.16,6.6334
2019,4,10,31.7,41.07,24.05,23.45,98.36,2.36,24.88,0.0,6.4891
2019,4,11,32.1,41.38,23.06,26.95,98.33,3.27,37.9,0.0,6.4289
2019,4,12,32.13,40.7,24.11,24.25,98.35,3.55,66.89,0.01,5.7641
2019,4,13,32.12,40.98,23.63,29.12,98.42,3.96,22.5,0.09,6.775
2019,4,14,32.44,41.36,23.53,27.56,98.39,4.48,17.98,0.0,6.9122
2019,4,15,33.51,41.87,25.78,27.35,98.26,5.09,43.83,0.0,6.5676
2019,4,16,28.37,33.26,24.23,43.59,98.55,3.98,99.14,0.53,2.8476
2019,4,17,23.42,27.48,19.56,67.98,98.75,3.82,90.18,15.18,4.5242
2019,4,18,24.64,31.8,18.07,57.4,98.79,2.1,30.33,1.78,6.2914
2019,4,19,26.47,33.85,19.2,41.33,98.55,2.82,5.41,0.0,6.8244
2019,4,20,27.59,35.62,19.28,37.53,98.28,2.6,11.61,0.0,6.8086
2019,4,21,29.92,38.95,20.59,33.14,98.08,3.21,3.49,0.0,7.0963
2019,4,22,31.49,39.79,24.06,30.88,98.1,2.81,2.96,0.0,7.1942
2019,4,23,32.75,42.05,23.27,31.42,98.19,2.89,4.34,0.0,7.0913
2019,4,24,33.42,41.77,23.46,29.27,98.31,1.98,32.01,0.0,6.7416
2019,4,25,34.19,43.18,25.87,24.03,98.28,2.91,44.76,0.0,6.2719
2019,4,26,33.65,42.58,25.09,24.76,98.22,4.16,20.13,0.24,6.877
2019,4,27,34.06,42.8,25.42,19.99,98.14,6.24,11.37,0.0,7.3661
2019,4,28,33.99,43.19,25.74,17.23,98.06,5.77,10.49,0.0,7.4227
2019,4,29,34.29,43.73,24.91,16.07,97.96,3.76,11.27,0.0,7.3063
