-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: latitude  26.1445   longitude 91.7362 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 400.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2019,1,1,14.72,22.46,9.07,70.79,97.29,1.8,7.8,0.0,4.2509
2019,1,2,14.65,21.59,8.19,68.9,97.19,1.67,12.3,0.0,4.1683
2019,1,3,14.32,22.73,8.85,79.22,97.17,1.64,43.26,0.0,3.8724
2019,1,4,13.66,21.14,8.14,80.07,97.35,1.54,22.52,0.0,3.547
2019,1,5,13.85,21.24,8.75,78.22,97.23,2.11,23.83,0.0,4.1777
2019,1,6,14.83,22.58,9.63,74.22,97.02,2.34,38.26,0.0,4.0658
2019,1,7,15.91,24.13,9.78,72.17,96.76,2.24,4.93,0.0,4.375
2019,1,8,15.4,22.72,10.89,79.43,96.67,1.95,12.1,0.0,4.2276
2019,1,9,15.28,23.47,10.51,75.03,96.86,1.64,44.75,0.03,3.8366
2019,1,10,14.4,21.28,9.28,78.75,97.01,1.53,35.7,0.19,3.432
2019,1,11,14.67,21.23,9.47,77.36,97.06,1.84,14.08,0.0,4.159
2019,1,12,14.83,22.35,8.84,71.18,97.02,1.91,9.9,0.0,4.2754
2019,1,13,15.48,24.48,9.18,69.95,96.94,1.8,9.91,0.0,4.3608
2019,1,14,15.1,22.38,10.2,79.41,96.82,1.77,12.98,0.0,4.1741
2019,1,15,14.47,22.18,9.51,73.78,96.98,1.73,17.04,0.0,3.6082
2019,1,16,14.33,22.2,8.6,76.7,97.07,2.11,15.09,0.0,4.2082
2019,1,17,16.16,24.26,10.66,70.96,96.78,2.15,8.04,0.0,4.3781
2019,1,18,15.07,22.82,9.87,74.75,96.81,1.72,9.28,0.0,4.3272
2019,1,19,14.93,22.25,9.34,75.45,96.96,1.53,19.87,0.0,4.3066
2019,1,20,15.12,22.46,9.37,76.4,97.03,1.5,16.04,0.0,4.2211
2019,1,21,15.99,23.41,9.8,71.71,97.01,1.57,10.3,0.0,4.3577
2019,1,22,16.5,24.48,9.86,71.86,97.03,1.64,27.22,0.0,4.3579
2019,1,23,16.27,24.39,10.7,76.14,97.02,1.72,20.34,0.0,4.493
2019,1,24,16.11,24.09,10.43,80.46,97.09,1.56,16.07,0.0,4.189
2019,1,25,17.46,24.55,10.92,70.56,97.08,1.61,23.87,0.0,4.2182
2019,1,26,17.39,26.39,11.63,74.77,97.04,1.73,77.67,0.0,3.8165
2019,1,27,17.59,25.07,13.04,74.75,97.01,1.79,74.76,0.0,3.6864
2019,1,28,16.87,24.38,12.01,78.06,96.97,1.79,13.26,0.0,4.2233
2019,1,29,15.38,22.38,11.35,76.46,96.88,2.18,70.24,0.31,2.149
2019,1,30,13.59,21.38,8.22,63.73,97.18,2.04,15.9,0.0,4.3603
2019,1,31,14.3,23.03,7.8,71.12,97.19,2.25,7.3,0.0,4.8106
2019,2,1,15.82,24.32,9.35,68.69,96.99,1.81,61.42,0.0,4.1376
2019,2,2,16.23,25.33,9.88,68.62,96.79,2.01,15.71,0.0,4.9303
2019,2,3,15.87,24.43,10.13,70.7,97.04,1.78,13.9,0.0,4.6543
2019,2,4,15.61,23.76,9.5,67.36,97.21,1.86,17.89,0.0,4.4587
2019,2,5,15.91,25.51,9.57,69.59,97.04,1.79,51.5,0.0,4.2986
2019,2,6,16.05,24.76,10.42,68.13,96.8,1.84,54.73,0.0,4.0961
2019,2,7,16.33,24.5,10.65,67.9,96.93,1.83,44.96,0.0,4.2312
2019,2,8,18.21,26.82,12.55,70.06,96.8,1.66,99.45,0.03,2.9705
2019,2,9,16.62,23.92,12.91,85.02,96.76,2.31,88.21,3.89,2.9124
2019,2,10,15.72,23.52,9.32,75.54,97.11,2.16,37.6,0.02,4.2413
2019,2,11,15.66,23.99,8.09,70.64,97.16,1.67,35.19,0.0,4.8202
2019,2,12,17.42,25.58,10.61,68.53,97.24,1.76,20.65,0.0,5.1698
2019,2,13,18.41,26.61,12.07,68.85,97.18,1.66,41.33,0.0,5.0599
2019,2,14,19.16,26.87,13.2,69.15,96.93,1.63,44.85,0.0,4.5662
2019,2,15,19.11,26.8,13.72,71.6,96.85,1.89,69.66,0.0,4.4203
2019,2,16,17.99,24.3,13.84,71.97,96.73,2.59,96.74,1.96,1.3363
2019,2,17,16.62,22.42,12.89,77.11,96.41,3.53,60.65,3.15,4.1102
2019,2,18,15.49,22.26,11.45,72.32,96.56,2.48,91.88,1.84,2.5841
2019,2,19,15.79,22.9,10.35,65.94,96.82,2.78,94.76,0.07,2.9054
2019,2,20,17.91,25.81,11.72,63.45,97.09,2.26,86.82,0.0,3.1954
2019,2,21,17.24,24.46,11.87,71.9,97.2,1.64,62.34,0.0,3.7109
2019,2,22,17.84,25.79,11.77,72.14,96.79,2.01,46.96,0.0,4.3766
2019,2,23,19.67,27.0,14.95,67.45,96.44,2.96,80.65,0.17,3.8215
2019,2,24,18.48,26.35,12.97,60.52,96.45,3.21,67.03,0.0,4.885
2019,2,25,17.59,26.02,11.32,57.07,96.51,2.32,67.59,0.08,4.2588
2019,2,26,18.3,26.38,11.67,64.96,96.51,2.57,62.87,0.01,4.7304
2019,2,27,18.45,26.4,12.01,74.35,96.52,1.48,82.77,1.58,2.9566
2019,2,28,16.7,22.72,13.1,84.9,96.42,2.23,92.93,16.47,1.423
2019,3,1,15.49,22.87,9.4,63.21,96.8,2.82,39.54,0.0,5.135
2019,3,2,15.65,24.19,8.13,64.32,96.86,1.71,17.96,0.0,5.819
2019,3,3,17.31,26.28,10.05,67.81,96.5,1.85,40.44,0.0,5.6364
2019,3,4,17.62,24.71,11.28,68.04,96.27,2.75,71.75,0.66,4.0598
2019,3,5,18.2,24.37,13.53,80.33,96.18,2.63,73.97,5.56,3.9598
2019,3,6,18.38,25.44,12.88,75.64,96.4,2.45,73.37,2.06,4.1582
2019,3,7,18.08,25.82,12.68,66.5,96.55,2.89,33.98,0.0,5.0266
2019,3,8,16.78,25.1,10.86,62.12,96.62,2.52,35.4,0.0,5.6354
2019,3,9,17.42,25.86,11.19,57.42,96.69,2.57,65.95,0.0,4.8223
2019,3,10,18.72,26.58,12.28,62.04,96.75,2.43,69.49,0.0,4.3217
2019,3,11,19.39,27.16,13.11,70.98,96.85,2.03,60.7,0.0,4.3886
2019,3,12,20.65,28.68,15.36,60.93,96.65,2.95,65.77,0.0,4.9889
