-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: latitude  17.385   longitude 78.4867 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 494.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2019,1,1,19.05,29.43,10.17,24.4,96.19,3.02,18.89,0.0,5.4518
2019,1,2,20.76,30.45,13.79,27.93,96.16,2.32,9.81,0.0,5.3398
2019,1,3,20.46,30.78,12.87,37.4,96.19,2.74,41.73,0.0,4.9553
2019,1,4,20.11,30.18,12.21,35.13,96.14,3.02,27.63,0.0,4.9826
2019,1,5,20.53,30.39,12.64,57.59,95.99,2.94,5.48,0.0,4.8048
2019,1,6,20.54,29.34,13.39,60.69,95.88,3.27,2.9,0.0,4.1794
2019,1,7,21.26,30.63,13.95,54.18,95.83,2.47,1.06,0.0,4.38
2019,1,8,19.87,29.59,13.18,32.39,95.86,3.41,24.91,0.0,4.6867
2019,1,9,19.97,30.75,12.29,20.72,95.83,3.14,20.53,0.0,5.287
2019,1,10,19.99,30.65,12.15,27.5,95.83,2.57,27.04,0.0,5.0801
2019,1,11,21.03,30.18,13.84,59.24,95.87,2.8,9.16,0.0,4.4633
2019,1,12,21.89,30.86,15.33,60.8,95.85,3.34,14.92,0.0,4.1923
2019,1,13,22.03,30.33,16.06,58.36,95.89,3.38,5.44,0.0,4.4597
2019,1,14,21.85,30.67,14.32,54.21,95.85,2.94,1.74,0.0,4.5626
2019,1,15,21.19,29.84,13.97,45.43,95.92,3.22,1.13,0.0,4.3202
2019,1,16,20.91,30.81,12.74,33.34,95.92,2.84,13.97,0.0,4.8706
2019,1,17,21.75,31.69,15.09,31.82,95.78,2.38,28.02,0.0,5.2594
2019,1,18,21.92,31.75,14.85,42.36,95.8,2.4,15.49,0.0,4.9594
2019,1,19,21.32,30.7,14.25,34.48,95.89,2.59,12.06,0.0,5.1434
2019,1,20,22.23,31.73,15.39,37.79,95.95,2.47,11.05,0.0,5.5224
2019,1,21,22.13,31.81,13.57,47.4,95.82,3.28,11.12,0.0,5.4014
2019,1,22,22.08,31.16,14.72,52.86,95.79,4.23,7.1,0.0,4.9776
2019,1,23,22.76,31.76,15.76,56.94,95.74,3.02,14.23,0.0,4.7071
2019,1,24,24.33,32.15,17.74,57.21,95.76,3.6,20.92,0.0,4.14
2019,1,25,24.23,31.27,17.87,60.56,95.71,4.61,45.81,0.46,4.0894
2019,1,26,23.58,29.75,19.62,70.02,95.81,3.59,83.63,6.93,2.4305
2019,1,27,21.41,27.74,17.48,75.62,95.94,3.38,98.99,9.12,0.989
2019,1,28,18.93,24.5,14.24,75.88,96.06,3.74,81.02,5.69,2.4293
2019,1,29,16.94,25.98,10.41,40.47,96.13,4.02,41.63,0.0,5.6261
2019,1,30,16.96,27.45,8.11,36.31,96.07,3.05,39.38,0.0,6.055
2019,1,31,18.76,27.57,10.9,59.67,95.98,3.04,27.83,0.0,5.0302
2019,2,1,20.88,29.19,14.42,67.36,95.92,3.06,14.24,0.0,5.106
2019,2,2,21.35,29.66,14.24,62.89,95.82,2.97,2.42,0.0,5.3059
2019,2,3,21.29,29.79,13.9,58.85,95.96,2.97,5.08,0.0,5.4818
2019,2,4,21.9,30.17,14.95,62.55,96.13,3.01,11.67,0.0,5.4084
2019,2,5,22.72,31.08,15.73,58.43,96.05,2.14,2.41,0.0,5.5529
2019,2,6,23.44,31.57,16.9,47.87,95.73,2.09,5.7,0.0,5.358
2019,2,7,24.02,31.67,17.15,57.6,95.62,4.22,21.92,0.0,5.189
2019,2,8,24.27,31.57,17.24,63.28,95.7,2.21,37.59,0.0,4.405
2019,2,9,22.74,31.4,15.98,41.24,95.86,3.45,22.5,0.0,5.3561
2019,2,10,21.29,32.2,11.92,25.53,95.99,2.57,31.2,0.0,5.9287
2019,2,11,22.38,31.21,13.7,48.96,96.03,3.16,55.54,0.0,4.4386
2019,2,12,24.2,32.33,17.39,58.63,96.09,3.27,11.14,0.0,5.1725
2019,2,13,23.94,32.78,17.26,54.03,96.13,3.13,17.45,0.0,5.9556
2019,2,14,24.49,34.41,15.5,48.11,95.84,2.99,8.92,0.0,6.0216
2019,2,15,25.94,34.71,16.98,51.01,95.74,3.26,15.37,0.3,5.8274
2019,2,16,26.38,34.52,19.19,48.1,95.68,2.39,14.22,0.31,5.6741
2019,2,17,25.81,34.77,19.32,51.04,95.62,3.08,27.93,0.0,5.4806
2019,2,18,24.86,34.58,16.41,32.21,95.54,2.55,33.72,0.0,5.7718
2019,2,19,26.54,35.96,17.31,35.59,95.62,3.04,11.78,0.0,5.6354
2019,2,20,26.79,35.29,19.85,55.25,95.9,4.06,6.84,0.0,5.8817
2019,2,21,26.95,35.59,18.46,48.07,96.04,2.83,2.83,0.0,6.1025
2019,2,22,28.49,37.14,20.8,34.58,95.84,2.58,8.4,0.0,5.9467
2019,2,23,28.85,37.78,20.88,30.31,95.61,1.95,19.43,0.0,6.0134
2019,2,24,28.42,37.86,19.82,25.0,95.44,3.41,1.25,0.0,6.3017
2019,2,25,27.81,37.46,19.12,29.74,95.35,3.08,11.26,0.0,5.9378
2019,2,26,27.3,36.81,18.94,30.76,95.27,1.89,9.73,0.0,6.1918
2019,2,27,27.35,35.41,20.27,50.63,95.23,1.88,52.54,0.0,5.2536
2019,2,28,26.38,34.6,19.68,40.37,95.38,2.66,13.16,0.0,6.2702
2019,3,1,26.69,35.22,17.59,35.35,95.46,2.62,25.93,0.03,5.5286
2019,3,2,27.85,34.64,22.09,55.59,95.57,4.78,26.38,0.0,5.2342
2019,3,3,28.75,36.31,21.33,51.64,95.42,3.29,20.56,0.0,5.7163
2019,3,4,29.39,38.1,21.98,40.61,95.22,3.76,2.58,0.0,6.3238
2019,3,5,28.3,37.14,20.77,26.52,95.2,3.99,4.68,0.0,6.5054
2019,3,6,27.35,36.36,19.12,19.1,95.35,3.85,2.54,0.0,6.8753
2019,3,7,26.7,36.25,17.23,21.6,95.35,2.78,4.07,0.0,6.6298
2019,3,8,27.2,36.67,18.34,27.04,95.54,2.48,32.66,0.14,6.0734
2019,3,9,28.27,37.54,19.24,37.55,95.59,2.17,15.81,0.0,5.7876
2019,3,10,28.95,37.96,20.25,40.66,95.59,1.88,15.61,0.0,6.2974
2019,3,11,30.18,38.59,21.35,43.35,95.64,3.91,28.91,0.0,6.1006
2019,3,12,30.51,37.88,23.62,35.9,95.67,3.34,26.57,0.0,5.7756
2019,3,13,29.87,38.48,21.53,32.36,95.69,4.35,9.57,0.0,6.4742
2019,3,14,29.6,38.38,20.55,24.52,95.68,3.33,20.28,0.0,6.377
2019,3,15,29.6,38.47,21.12,26.44,95.71,3.66,6.67,0.0,6.7356
2019,3,16,29.22,37.97,20.65,30.38,95.7,4.72,1.46,0.0,6.6744
2019,3,17,29.01,37.7,20.78,37.52,95.67,5.09,0.2,0.0,6.6857
2019,3,18,28.59,37.89,20.02,32.07,95.63,4.15,1.23,0.0,6.9324
2019,3,19,29.04,38.45,19.25,44.54,95.39,3.47,10.06,0.0,6.7234
2019,3,20,29.83,37.96,21.55,47.17,95.36,5.06,21.42,1.25,5.6448
2019,3,21,29.76,38.09,21.62,44.35,95.5,4.97,20.23,0.01,6.3053
2019,3,22,29.83,38.01,22.75,39.22,95.58,2.68,20.32,0.0,6.391
2019,3,23,31.45,39.35,22.24,38.47,95.51,2.48,27.18,0.0,6.2508
2019,3,24,32.0,39.42,24.45,31.3,95.47,2.61,29.12,0.0,6.4716
2019,3,25,31.37,39.66,23.56,31.59,95.49,2.87,18.31,0.0,6.4116
2019,3,26,31.46,39.33,23.28,35.18,95.54,2.72,37.61,0.21,6.2369
2019,3,27,32.24,40.23,23.87,33.02,95.64,2.08,23.55,0.0,6.499
2019,3,28,31.87,40.43,23.53,29.45,95.58,2.38,16.05,0.0,6.7414
2019,3,29,31.61,40.65,23.8,20.68,95.42,2.8,1.33,0.0,7.0704
2019,3,30,31.81,40.94,22.09,27.91,95.35,2.73,19.5,0.0,6.7853
2019,3,31,33.19,41.72,24.4,28.62,95.32,3.0,36.08,0.01,6.5424
2019,4,1,33.78,41.57,26.98,22.19,95.32,2.24,22.37,0.04,6.4685
2019,4,2,32.68,41.51,24.2,25.93,95.3,3.29,26.1,0.0,6.9178
2019,4,3,31.4,39.88,23.31,41.68,95.41,4.53,40.28,0.0,6.1246
2019,4,4,31.07,38.6,23.1,37.16,95.52,3.64,48.46,0.0,6.2698
2019,4,5,32.19,40.6,23.74,38.38,95.54,2.6,66.17,2.18,5.8944
2019,4,6,32.77,40.32,25.97,34.05,95.45,2.53,41.55,3.44,5.9998
2019,4,7,32.16,40.21,23.86,32.23,95.34,2.81,29.74,0.41,6.66
2019,4,8,32.17,40.44,23.48,35.96,95.23,3.21,20.49,0.0,6.5683
2019,4,9,32.56,40.13,24.35,38.86,95.33,2.97,34.07,0.16,6.1855
2019,4,10,33.01,40.88,24.81,35.67,95.38,2.59,35.5,0.1,6.396
2019,4,11,33.1,41.47,24.21,31.39,95.31,2.78,34.28,0.01,6.9955
2019,4,12,33.15,41.73,25.15,33.16,95.28,2.94,40.75,5.2,6.7754
2019,4,13,31.71,40.02,24.4,37.43,95.36,3.46,56.69,1.54,6.5695
2019,4,14,32.01,40.86,23.43,33.58,95.37,3.4,25.67,0.11,7.0613
2019,4,15,32.73,41.35,24.0,26.3,95.31,3.3,16.99,0.0,7.0121
2019,4,16,32.0,40.76,24.05,24.87,95.32,3.91,16.36,0.0,7.4734
2019,4,17,31.5,39.42,22.39,35.81,95.35,3.06,39.27,1.33,6.4457
2019,4,18,32.49,40.14,24.98,39.88,95.31,3.39,35.31,3.55,6.738
2019,4,19,30.28,36.58,24.23,56.19,95.24,3.3,53.99,6.58,6.4807
2019,4,20,31.06,38.48,24.17,51.2,95.07,4.88,44.13,0.6,6.2851
2019,4,21,31.93,40.07,24.3,41.07,94.99,3.54,32.05,0.32,6.372
2019,4,22,31.42,38.72,24.86,43.22,95.11,4.22,48.39,1.14,6.6902
2019,4,23,31.62,39.76,23.77,38.49,95.27,3.36,28.01,0.2,7.1232
2019,4,24,32.03,40.38,23.83,36.76,95.34,3.88,9.42,0.34,7.5278
2019,4,25,33.14,42.11,23.75,30.16,95.28,3.75,23.2,0.0,6.9566
2019,4,26,34.28,43.23,25.04,28.85,95.15,3.99,36.08,0.0,7.098
2019,4,27,34.43,42.3,25.88,32.09,95.12,3.5,59.18,0.0,6.4145
2019,4,28,34.48,42.07,27.0,32.24,95.08,3.54,81.54,0.0,5.6868
2019,4,29,34.27,42.4,26.67,32.61,95.08,4.14,62.5,0.01,6.5693
