-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: latitude  26.9124   longitude 75.7873 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 405.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2019,1,1,14.86,24.79,6.68,22.18,97.2,2.33,5.47,0.0,4.2415
2019,1,2,14.81,25.82,8.67,29.12,97.18,2.69,2.72,0.0,4.3066
2019,1,3,14.55,24.57,7.27,28.39,97.36,2.26,14.82,0.0,4.0877
2019,1,4,13.4,21.4,7.21,38.95,97.21,2.46,88.54,0.0,2.7336
2019,1,5,14.04,24.62,6.46,37.86,96.98,3.21,25.6,0.0,4.0752
2019,1,6,12.97,20.95,7.76,46.6,96.96,3.1,9.49,0.15,3.2381
2019,1,7,12.62,21.69,5.58,52.65,97.19,2.67,9.18,0.0,3.6533
2019,1,8,13.18,22.11,7.37,45.85,97.05,2.39,3.16,0.0,4.0392
2019,1,9,13.25,23.27,6.29,41.77,97.07,3.36,3.1,0.0,4.1549
2019,1,10,13.81,22.78,6.62,38.97,96.98,2.0,33.89,0.0,4.307
2019,1,11,14.18,23.05,8.55,36.25,97.03,2.25,5.68,0.0,4.1494
2019,1,12,14.85,23.71,8.15,32.89,96.93,2.0,5.29,0.0,4.062
2019,1,13,14.15,22.97,7.38,38.84,97.14,2.69,9.35,0.0,3.7769
2019,1,14,12.56,21.87,6.63,35.22,97.25,4.08,11.95,0.0,3.9996
2019,1,15,12.82,22.53,4.4,20.78,97.13,2.43,43.54,0.0,4.3186
2019,1,16,15.31,24.19,9.49,17.3,97.0,2.11,17.39,0.0,4.3138
