-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: latitude  9.9312   longitude 76.2673 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 47.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2019,1,1,26.35,31.1,22.04,61.16,100.89,2.21,6.35,0.0,5.4734
2019,1,2,25.5,30.97,20.46,57.47,100.91,2.91,7.1,0.0,5.856
2019,1,3,25.5,31.31,20.14,57.18,100.94,2.8,1.51,0.0,6.1706
2019,1,4,25.48,31.53,19.92,58.97,100.87,3.14,1.08,0.0,6.3905
2019,1,5,25.35,30.46,19.79,60.6,100.81,2.3,27.54,0.0,6.1027
2019,1,6,25.74,30.55,20.8,62.97,100.68,1.82,33.24,0.0,5.8322
2019,1,7,25.93,30.66,21.33,63.26,100.61,2.28,6.39,0.0,6.1519
2019,1,8,26.95,31.7,22.98,64.55,100.65,1.93,10.85,0.0,5.6484
2019,1,9,26.6,32.35,20.96,57.61,100.6,1.71,4.32,0.0,6.2431
2019,1,10,26.84,32.46,21.64,57.12,100.61,1.89,0.94,0.0,6.2414
2019,1,11,27.01,31.84,22.75,62.44,100.7,1.91,5.18,0.0,5.9722
2019,1,12,27.41,32.72,22.55,60.87,100.64,2.02,13.44,0.0,5.8692
2019,1,13,26.89,32.06,22.15,59.8,100.67,2.05,51.02,0.0,4.7779
2019,1,14,27.29,32.0,22.97,64.96,100.59,2.22,35.76,0.01,5.381
