-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: latitude  22.5726   longitude 88.3639 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2019,1,1,15.07,24.49,7.9,63.18,101.82,3.18,12.76,0.0,4.2526
2019,1,2,15.65,25.01,8.28,60.85,101.8,3.07,4.47,0.0,4.231
2019,1,3,15.98,24.62,8.76,57.9,101.82,2.61,13.59,0.0,3.8006
2019,1,4,15.41,24.28,7.93,59.53,101.9,2.73,24.64,0.0,3.4078
2019,1,5,15.68,24.57,8.54,60.89,101.72,2.99,16.02,0.0,3.6065
2019,1,6,17.4,26.53,9.76,62.02,101.56,2.62,7.08,0.0,4.1813
2019,1,7,18.01,26.93,9.99,61.15,101.4,2.87,2.33,0.0,4.6152
2019,1,8,17.86,26.17,11.42,64.97,101.32,3.27,19.21,0.0,3.8326
2019,1,9,18.03,25.77,11.39,65.16,101.47,2.25,32.81,0.0,3.2412
2019,1,10,17.52,24.89,10.84,61.56,101.56,2.24,12.93,0.0,3.4862
2019,1,11,16.34,24.31,9.37,55.27,101.63,2.69,13.49,0.0,3.6912
2019,1,12,16.62,24.98,9.24,56.5,101.61,2.83,20.38,0.0,3.6449
2019,1,13,17.09,26.02,9.56,57.02,101.59,2.9,11.09,0.0,3.8897
2019,1,14,18.15,26.06,10.77,64.02,101.41,2.39,39.16,0.0,2.8166
2019,1,15,17.56,25.37,11.77,58.47,101.57,3.07,26.15,0.0,3.2911
2019,1,16,15.82,24.98,8.28,50.43,101.64,2.95,7.23,0.0,4.3759
2019,1,17,16.4,25.25,8.13,50.65,101.43,2.59,10.76,0.0,4.1791
2019,1,18,17.44,25.92,9.15,51.93,101.42,2.47,27.87,0.0,3.9535
2019,1,19,17.18,26.21,9.24,52.14,101.53,2.65,14.59,0.0,3.7502
2019,1,20,17.78,25.85,9.96,51.36,101.57,2.33,27.58,0.0,3.5738
2019,1,21,18.84,27.02,10.52,52.03,101.51,2.02,22.81,0.0,3.7747
2019,1,22,20.39,28.56,11.78,50.13,101.52,1.33,10.25,0.0,4.0963
2019,1,23,20.81,29.7,12.75,54.7,101.46,1.32,14.93,0.0,4.2588
2019,1,24,21.23,30.28,12.54,56.16,101.51,1.72,18.84,0.0,4.3598
2019,1,25,21.59,29.56,13.25,52.64,101.55,1.71,19.44,0.0,4.2252
2019,1,26,21.22,29.99,14.15,58.41,101.57,3.01,47.79,0.0,4.0387
2019,1,27,20.62,27.65,14.78,65.43,101.6,3.39,83.3,0.0,2.9933
2019,1,28,21.33,28.14,16.06,59.46,101.61,3.94,97.0,0.0,2.6285
2019,1,29,19.06,26.24,13.59,50.32,101.62,4.21,37.15,0.0,3.7027
2019,1,30,16.35,25.3,7.56,41.14,101.77,2.92,8.46,0.0,4.9704
2019,1,31,17.41,26.69,8.77,40.92,101.7,2.71,8.2,0.0,4.8766
2019,2,1,18.75,28.44,10.37,45.98,101.54,2.69,18.22,0.0,4.8122
2019,2,2,19.57,28.82,10.59,46.47,101.4,2.63,15.65,0.0,4.9145
2019,2,3,20.37,29.55,11.49,46.09,101.58,2.64,14.11,0.0,4.7506
2019,2,4,21.01,29.11,12.46,45.09,101.74,2.44,23.68,0.0,4.7033
2019,2,5,20.71,29.37,11.84,44.78,101.6,2.76,37.23,0.0,4.6548
2019,2,6,21.22,29.35,12.64,47.31,101.3,2.34,18.84,0.0,4.4662
2019,2,7,22.68,31.29,14.77,59.74,101.33,1.61,34.07,0.0,4.2732
2019,2,8,23.15,31.3,16.04,63.4,101.3,2.34,69.25,0.0,3.6504
2019,2,9,22.83,29.66,17.75,67.22,101.38,2.93,63.33,0.46,3.8772
2019,2,10,19.44,27.51,12.91,49.37,101.74,3.59,5.81,0.02,5.1132
2019,2,11,18.76,27.63,10.15,37.32,101.78,3.11,9.95,0.0,5.5577
2019,2,12,19.87,29.02,11.3,41.4,101.81,2.92,9.27,0.0,5.382
2019,2,13,20.91,29.74,12.41,42.29,101.75,2.8,6.87,0.0,5.0275
2019,2,14,22.57,32.0,13.31,45.49,101.46,2.4,13.57,0.0,5.0066
2019,2,15,23.9,32.9,14.57,45.66,101.38,2.35,29.17,0.0,4.9452
2019,2,16,22.33,28.88,16.5,53.2,101.36,3.53,59.67,1.0,3.0907
2019,2,17,22.89,29.57,18.0,57.45,101.09,3.35,9.94,0.0,4.511
2019,2,18,22.11,30.04,14.59,48.06,101.07,2.09,24.87,0.0,4.7191
2019,2,19,23.86,32.98,16.92,60.71,101.25,2.82,20.0,0.0,5.0803
2019,2,20,25.07,33.89,17.55,58.88,101.51,2.83,40.09,0.0,4.8838
2019,2,21,25.5,34.19,17.74,57.36,101.56,2.67,24.28,0.0,5.033
2019,2,22,26.18,35.32,17.74,58.63,101.22,3.0,41.76,0.0,4.6145
2019,2,23,27.65,35.6,21.44,58.34,100.94,3.18,39.68,0.15,4.9207
2019,2,24,26.95,34.73,19.82,53.47,100.95,2.34,28.23,0.15,5.1818
2019,2,25,25.05,30.5,21.64,74.19,100.98,2.35,87.19,26.33,2.075
2019,2,26,24.4,30.09,20.63,79.77,100.99,3.08,92.18,39.41,2.2301
2019,2,27,24.04,28.42,21.25,85.23,100.87,4.4,81.98,37.14,3.901
2019,2,28,22.25,27.39,18.03,76.01,101.03,3.46,66.75,20.96,2.8478
2019,3,1,20.35,25.95,14.66,61.98,101.37,2.23,2.07,0.0,5.4665
2019,3,2,20.69,27.25,13.03,56.15,101.36,1.96,0.0,0.0,5.6213
2019,3,3,21.4,28.07,13.91,62.39,101.08,2.17,34.13,0.0,5.2702
2019,3,4,22.64,27.94,17.37,83.23,100.79,3.36,77.57,9.46,2.9873
2019,3,5,25.02,29.43,22.19,78.96,100.64,3.48,70.87,13.32,3.1063
2019,3,6,24.51,29.56,20.14,70.04,100.86,1.72,31.27,0.14,4.3538
2019,3,7,23.63,28.83,18.08,62.58,101.02,2.12,23.53,0.0,4.5552
2019,3,8,22.41,29.1,15.7,56.07,101.17,2.45,15.62,0.0,5.5397
2019,3,9,22.84,30.33,15.69,65.45,101.19,2.75,0.68,0.0,5.9602
2019,3,10,24.17,31.23,17.8,77.5,101.16,3.69,44.53,0.01,4.4371
2019,3,11,26.35,32.62,20.65,72.27,101.21,2.46,38.05,0.06,4.7446
2019,3,12,26.79,34.2,20.61,71.9,101.16,2.8,35.72,0.0,5.399
