-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: latitude  12.9141   longitude 74.856 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 162.98 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2019,1,1,25.11,32.11,19.07,46.74,99.62,2.42,2.05,0.0,5.6287
2019,1,2,24.97,32.25,18.69,45.56,99.62,2.35,3.04,0.0,5.8438
2019,1,3,25.27,32.71,19.07,44.26,99.68,2.19,5.21,0.0,5.9688
2019,1,4,25.68,32.91,19.37,46.12,99.59,2.22,2.16,0.0,6.0698
2019,1,5,25.74,32.7,19.86,48.16,99.51,2.27,14.02,0.0,5.891
2019,1,6,25.59,31.91,20.24,55.65,99.4,1.75,11.24,0.0,5.7348
2019,1,7,26.11,32.66,20.69,54.93,99.33,2.09,6.94,0.0,5.6066
2019,1,8,26.39,33.02,21.05,54.53,99.37,1.49,6.17,0.0,5.4144
2019,1,9,26.27,33.21,20.46,50.87,99.34,2.13,1.88,0.0,5.5704
2019,1,10,26.12,32.49,20.34,52.92,99.33,2.12,5.7,0.0,5.2493
2019,1,11,26.16,31.89,21.15,58.31,99.43,1.85,6.4,0.0,5.3844
2019,1,12,26.57,32.55,21.72,58.21,99.37,2.22,59.3,0.0,4.8283
2019,1,13,26.56,32.28,21.74,53.77,99.4,2.53,5.09,0.0,4.9944
