-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: latitude  18.5204   longitude 73.8567 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 635.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2019,1,1,19.42,29.66,10.32,26.85,94.6,2.97,38.55,0.0,5.0782
2019,1,2,20.31,30.49,10.51,29.01,94.56,1.98,42.01,0.0,5.017
2019,1,3,20.83,30.15,12.91,31.66,94.61,1.94,1.19,0.0,5.0988
2019,1,4,20.67,30.66,10.98,30.66,94.51,2.37,2.48,0.0,5.0851
2019,1,5,20.4,30.62,12.16,38.25,94.37,2.74,4.53,0.0,4.9783
2019,1,6,19.43,30.34,11.75,38.53,94.26,2.7,2.54,0.0,4.9786
2019,1,7,18.93,29.39,11.49,33.15,94.29,4.21,1.3,0.0,5.0345
2019,1,8,18.97,29.75,10.63,28.1,94.31,3.32,2.29,0.0,5.1065
2019,1,9,19.56,30.78,10.46,30.5,94.24,2.32,4.79,0.0,5.1818
2019,1,10,19.69,30.71,10.29,29.95,94.19,2.94,6.74,0.0,5.0158
2019,1,11,19.82,30.65,11.13,36.49,94.23,2.77,4.22,0.0,4.8991
2019,1,12,20.33,30.06,15.0,36.78,94.2,2.39,4.09,0.0,4.9289
2019,1,13,19.48,29.98,11.03,40.7,94.26,2.47,5.25,0.0,4.974
2019,1,14,20.07,30.0,12.71,41.09,94.24,3.8,1.36,0.0,4.7722
2019,1,15,20.91,30.12,13.36,38.8,94.32,3.75,2.56,0.0,4.8293
2019,1,16,21.69,31.11,13.52,43.06,94.31,2.67,2.09,0.0,4.7309
2019,1,17,21.65,31.3,13.03,36.0,94.22,2.55,2.6,0.0,4.824
2019,1,18,21.6,31.56,12.79,32.27,94.21,2.49,5.33,0.0,5.011
2019,1,19,21.74,31.27,13.15,31.33,94.27,3.12,3.49,0.0,4.9541
2019,1,20,22.44,31.51,13.44,32.48,94.34,2.63,4.73,0.0,4.9937
2019,1,21,20.6,30.84,13.46,45.73,94.18,3.48,2.98,0.0,5.2409
2019,1,22,18.81,27.82,13.13,69.84,94.2,2.66,6.27,0.0,5.2457
2019,1,23,18.73,27.56,13.29,68.19,94.25,2.58,18.03,0.0,5.2954
2019,1,24,18.33,29.33,10.12,47.82,94.26,3.07,3.57,0.0,5.6578
2019,1,25,17.29,28.09,9.29,38.74,94.23,3.1,1.88,0.0,5.681
2019,1,26,18.06,28.38,8.67,41.05,94.25,3.09,5.35,0.0,5.0566
2019,1,27,19.6,27.51,12.54,58.5,94.38,4.62,7.99,0.0,4.7585
2019,1,28,18.49,26.99,12.08,38.34,94.49,4.88,2.6,0.0,5.1178
2019,1,29,18.09,28.28,10.48,25.56,94.48,4.74,2.15,0.0,5.1511
2019,1,30,19.11,29.57,9.94,25.3,94.38,2.81,2.04,0.0,5.6261
2019,1,31,20.58,30.82,11.8,32.72,94.27,2.06,1.79,0.0,5.4816
2019,2,1,21.1,30.96,13.13,42.88,94.24,2.66,4.08,0.0,5.34
