city,month,month_num,P10,P50,P90
Ahmedabad,Jan,1,3.358,4.548,5.244
Ahmedabad,Feb,2,4.801,5.663,6.179
Ahmedabad,Mar,3,5.426,6.467,6.951
Ahmedabad,Apr,4,6.331,7.217,7.551
Ahmedabad,May,5,6.338,7.405,7.803
Ahmedabad,Jun,6,4.288,6.305,7.502
Ahmedabad,Jul,7,2.888,4.642,5.935
Ahmedabad,Aug,8,2.5,4.003,5.398
Ahmedabad,Sep,9,2.976,4.851,6.016
Ahmedabad,Oct,10,4.554,5.519,6.169
Ahmedabad,Nov,11,3.734,4.491,5.1
Ahmedabad,Dec,12,3.238,4.131,4.632
Bengaluru,Jan,1,3.805,5.432,6.172
Bengaluru,Feb,2,5.318,6.429,7.013
Bengaluru,Mar,3,5.613,6.799,7.392
Bengaluru,Apr,4,5.545,6.638,7.558
Bengaluru,May,5,4.434,6.122,6.931
Bengaluru,Jun,6,4.4,5.549,6.624
Bengaluru,Jul,7,3.166,4.61,5.778
Bengaluru,Aug,8,3.571,4.823,5.999
Bengaluru,Sep,9,3.991,4.942,5.803
Bengaluru,Oct,10,3.542,4.799,5.852
Bengaluru,Nov,11,2.62,4.232,5.494
Bengaluru,Dec,12,2.581,4.348,5.588
Bhopal,Jan,1,2.16,4.29,5.003
Bhopal,Feb,2,4.251,5.46,6.024
Bhopal,Mar,3,4.755,6.338,6.975
Bhopal,Apr,4,5.495,7.008,7.577
Bhopal,May,5,6.034,6.982,7.855
Bhopal,Jun,6,3.64,5.866,7.109
Bhopal,Jul,7,1.9,4.427,6.29
Bhopal,Aug,8,1.788,3.609,5.212
Bhopal,Sep,9,2.305,4.358,5.7
Bhopal,Oct,10,3.852,5.208,5.917
Bhopal,Nov,11,3.802,4.355,4.884
Bhopal,Dec,12,2.168,3.945,4.649
Bhubaneswar,Jan,1,2.548,3.94,4.649
Bhubaneswar,Feb,2,3.549,5.122,5.75
Bhubaneswar,Mar,3,4.219,5.543,6.344
Bhubaneswar,Apr,4,4.933,6.136,6.768
Bhubaneswar,May,5,4.642,6.282,7.037
Bhubaneswar,Jun,6,2.865,5.146,6.484
Bhubaneswar,Jul,7,2.383,4.28,5.925
Bhubaneswar,Aug,8,2.155,4.225,5.534
Bhubaneswar,Sep,9,2.541,4.406,5.631
Bhubaneswar,Oct,10,2.808,4.807,5.605
Bhubaneswar,Nov,11,3.107,4.292,4.848
Bhubaneswar,Dec,12,2.419,3.842,4.398
Chandigarh,Jan,1,1.332,2.718,4.248
Chandigarh,Feb,2,2.934,4.596,5.475
Chandigarh,Mar,3,3.056,5.905,6.611
Chandigarh,Apr,4,4.861,6.966,7.577
Chandigarh,May,5,5.116,7.196,8.203
Chandigarh,Jun,6,5.041,7.095,7.971
Chandigarh,Jul,7,3.106,5.52,6.886
Chandigarh,Aug,8,3.634,5.72,6.687
Chandigarh,Sep,9,3.451,5.569,6.375
Chandigarh,Oct,10,4.504,5.233,5.829
Chandigarh,Nov,11,2.647,4.095,4.597
Chandigarh,Dec,12,1.665,3.546,3.977
Chennai,Jan,1,3.761,5.002,5.502
Chennai,Feb,2,5.179,5.768,6.315
Chennai,Mar,3,5.584,6.34,6.85
Chennai,Apr,4,5.921,6.606,7.04
Chennai,May,5,4.124,6.125,6.69
Chennai,Jun,6,3.259,5.684,6.46
Chennai,Jul,7,2.77,4.816,6.324
Chennai,Aug,8,2.858,5.297,6.246
Chennai,Sep,9,2.712,5.2,6.256
Chennai,Oct,10,2.769,5.06,5.902
Chennai,Nov,11,1.511,4.093,5.24
Chennai,Dec,12,2.416,4.278,4.98
Delhi,Jan,1,1.342,2.693,4.112
Delhi,Feb,2,3.031,4.418,5.313
Delhi,Mar,3,3.919,5.656,6.389
Delhi,Apr,4,5.566,6.719,7.265
Delhi,May,5,5.228,6.691,7.674
Delhi,Jun,6,4.442,6.422,7.219
Delhi,Jul,7,3.043,4.87,6.21
Delhi,Aug,8,3.182,4.777,6.026
Delhi,Sep,9,2.988,4.866,5.707
Delhi,Oct,10,3.708,4.716,5.479
Delhi,Nov,11,2.541,3.348,4.017
Delhi,Dec,12,1.732,3.078,3.788
