City,Mean_GHI,GHI_CV,CLOUD_mean,risk_fraction,SRI,RS,IPI,Solar_Persona,Recommendation,Performance_Tier,mean_score,Rank
Jaipur,5.115084071200365,0.2777327994991136,56.288685531720674,0.24509356458238246,48.14085490218274,85.55065716316568,30.403829177499496,Weather Volatile,Highly Recommended,Top Performer,54.69844708094931,1
Ahmedabad,5.285117754450022,0.2683210415642006,44.91780921953446,0.2209036969420356,36.84146301667718,100.0,26.86692303279068,Consistent Producer,Recommended,Top Performer,54.56946201648929,2
Hyderabad,5.033089046097673,0.2490077929701487,53.512272934733,0.32679141944317663,58.19052608610312,64.57914523283733,35.28995374132234,Consistent Producer,Highly Recommended,Top Performer,52.68654168675426,3
Bengaluru,5.272055682336832,0.23710254098031686,62.44013235965312,0.43222272934732997,80.0,21.058602214674494,39.61773508439074,Monsoon Sensitive,Recommended,Top Performer,46.892112433021744,4
Kochi,5.266448197170242,0.23756546462675654,62.12591967138294,0.4217252396166134,78.62410672710088,27.45500890838554,29.52628739827381,Monsoon Sensitive,Recommended,Top Performer,45.201801011253416,5
Mumbai,5.076392925604746,0.29016026532253325,49.1856503879507,0.29621177544500227,42.814330311721136,62.727655717142966,28.795589658489853,Consistent Producer,Consider Carefully,Moderate Performer,44.779191895784656,6
Chennai,5.065836102236422,0.2702748576362629,54.07198995892286,0.32040164308534913,53.980352702075834,59.97638612445096,20.331571991580343,Consistent Producer,Consider Carefully,Moderate Performer,44.762770272702376,7
Bhubaneswar,4.6144791875855775,0.2875292144052646,54.761195801004106,0.33591967138293016,51.040980151851926,40.275375389516,27.878709774875755,Monsoon Sensitive,Consider Carefully,Moderate Performer,39.731688438747895,8
Pune,4.920841168416248,0.3046795846801102,46.55851209493382,0.314924691921497,38.33220978647539,44.215669276081506,32.97427565547723,Consistent Producer,Recommended,Moderate Performer,38.507384906011374,9
Bhopal,4.965471656777727,0.30808359292338733,45.19413966225468,0.28525787311729806,33.736544158663705,55.22459800715267,24.167542831641185,Consistent Producer,Consider Carefully,Moderate Performer,37.70956166581919,10
Chandigarh,5.064499726152442,0.3395777709663287,45.136526700136926,0.20036513007759013,20.0,82.37856371036978,0.0,Weather Volatile,Consider Carefully,Challenging Region,34.12618790345659,11
Mangalore,5.1343031948881785,0.2726091104602609,61.39424007302601,0.4198995892286627,70.14633034896778,9.039671553085014,18.462752835597506,Monsoon Sensitive,Consider Carefully,Challenging Region,32.5495849125501,12
Kolkata,4.36845148334094,0.2976254616224994,55.84367868553172,0.34961204929256046,50.49008703710885,29.256247007941123,15.906047040427095,Monsoon Sensitive,Consider Carefully,Challenging Region,31.884127028492358,13
Guwahati,4.297330899132816,0.29415573478065815,63.615463258785944,0.42674577818347786,65.81432925581399,0.0,29.606959912521823,Monsoon Sensitive,Recommended,Challenging Region,31.807096389445274,14
Delhi,4.679751802829758,0.3433900247178267,45.8959242355089,0.23322683706070288,21.644722514663254,64.32256645730371,0.40151893145717876,Weather Volatile,Consider Carefully,Challenging Region,28.789602634474715,15
