Feature,VIF,Severity,Round
T2M,173.59,🔴 Severe,Round 1 (Original)
T2M_MIN,72.57,🔴 Severe,Round 1 (Original)
T2M_MAX,49.31,🔴 Severe,Round 1 (Original)
RH2M,4.52,🟢 Low,Round 1 (Original)
CLOUD_AMT,1.94,🟢 Low,Round 1 (Original)
PRECTOTCORR,1.43,🟢 Low,Round 1 (Original)
WS10M,1.2,🟢 Low,Round 1 (Original)
PS,1.15,🟢 Low,Round 1 (Original)
T2M_MAX,inf,🔴 Severe,Round 2 Set B (drop T2M)
T2M_MIN,inf,🔴 Severe,Round 2 Set B (drop T2M)
TEMP_RANGE,inf,🔴 Severe,Round 2 Set B (drop T2M)
RH2M,4.46,🟢 Low,Round 2 Set B (drop T2M)
CLOUD_AMT,1.94,🟢 Low,Round 2 Set B (drop T2M)
PRECTOTCORR,1.42,🟢 Low,Round 2 Set B (drop T2M)
WS10M,1.16,🟢 Low,Round 2 Set B (drop T2M)
PS,1.15,🟢 Low,Round 2 Set B (drop T2M)
TEMP_RANGE,4.87,🟢 Low,Round 2 Set C (T2M_MAX+TEMP_RANGE)
RH2M,4.46,🟢 Low,Round 2 Set C (T2M_MAX+TEMP_RANGE)
CLOUD_AMT,1.94,🟢 Low,Round 2 Set C (T2M_MAX+TEMP_RANGE)
T2M_MAX,1.55,🟢 Low,Round 2 Set C (T2M_MAX+TEMP_RANGE)
PRECTOTCORR,1.42,🟢 Low,Round 2 Set C (T2M_MAX+TEMP_RANGE)
WS10M,1.16,🟢 Low,Round 2 Set C (T2M_MAX+TEMP_RANGE)
PS,1.15,🟢 Low,Round 2 Set C (T2M_MAX+TEMP_RANGE)
